Indent level,ID,Name,Data type,Repeatable,Description,Legal Status,Level,Element,2019 form,2015 form
++,BT-512,Organisation Post Code,Text,No,The post code of the organisation's physical address.,CM,I.1.6,Postal code,25,15
++,BT-512,Organisation Post Code,Text,No,The post code of the organisation's physical address.,CM,I.1.6,Postal code,26,15
++,BT-512,Organisation Post Code,Text,No,The post code of the organisation's physical address.,CM,I.1.6,Postal code,27,15
++,BT-512,Organisation Post Code,Text,No,The post code of the organisation's physical address.,CM,I.1.6,Postal code,28,15
++,BT-507,Organisation Country Subdivision,Code,No,The location according to the common classification of territorial units for statistics (NUTS) of the organisation's physical address. The NUTS3 classification code must be used.,CM,I.1.5,NUTS code,25,15
++,BT-507,Organisation Country Subdivision,Code,No,The location according to the common classification of territorial units for statistics (NUTS) of the organisation's physical address. The NUTS3 classification code must be used.,CM,I.1.5,NUTS code,26,15
++,BT-507,Organisation Country Subdivision,Code,No,The location according to the common classification of territorial units for statistics (NUTS) of the organisation's physical address. The NUTS3 classification code must be used.,CM,I.1.5,NUTS code,27,15
++,BT-507,Organisation Country Subdivision,Code,No,The location according to the common classification of territorial units for statistics (NUTS) of the organisation's physical address. The NUTS3 classification code must be used.,CM,I.1.5,NUTS code,28,15
++,BT-514,Organisation Country Code,Code,No,The country of the organisation's physical address.,CM,I.1.7,Country,25,15
++,BT-514,Organisation Country Code,Code,No,The country of the organisation's physical address.,CM,I.1.7,Country,26,15
++,BT-514,Organisation Country Code,Code,No,The country of the organisation's physical address.,CM,I.1.7,Country,27,15
++,BT-514,Organisation Country Code,Code,No,The country of the organisation's physical address.,CM,I.1.7,Country,28,15
++,BT-502,Organisation Contact Point,Text,No,"The name of the department or other contact point for communicating with the organisation. To avoid unnecessary processing of personal data, the contact point may allow the identification of a physical person only when necessary (in the sense of Regulation (EU) 2016/679 and Regulation (EU) 2018/1725).",O,I.1.8,Contact person,25,15
++,BT-502,Organisation Contact Point,Text,No,"The name of the department or other contact point for communicating with the organisation. To avoid unnecessary processing of personal data, the contact point may allow the identification of a physical person only when necessary (in the sense of Regulation (EU) 2016/679 and Regulation (EU) 2018/1725).",O,I.1.8,Contact person,26,15
++,BT-502,Organisation Contact Point,Text,No,"The name of the department or other contact point for communicating with the organisation. To avoid unnecessary processing of personal data, the contact point may allow the identification of a physical person only when necessary (in the sense of Regulation (EU) 2016/679 and Regulation (EU) 2018/1725).",O,I.1.8,Contact person,27,15
++,BT-502,Organisation Contact Point,Text,No,"The name of the department or other contact point for communicating with the organisation. To avoid unnecessary processing of personal data, the contact point may allow the identification of a physical person only when necessary (in the sense of Regulation (EU) 2016/679 and Regulation (EU) 2018/1725).",O,I.1.8,Contact person,28,15
++,BT-506,Organisation Contact Email Address,Text,No,"The email for contacting the organisation. To avoid unnecessary processing of personal data, the email may allow the identification of a physical person only when necessary (in the sense of the General Data Protection Regulation).",CM,I.1.10,E-mail,25,15
++,BT-506,Organisation Contact Email Address,Text,No,"The email for contacting the organisation. To avoid unnecessary processing of personal data, the email may allow the identification of a physical person only when necessary (in the sense of the General Data Protection Regulation).",CM,I.1.10,E-mail,26,15
++,BT-506,Organisation Contact Email Address,Text,No,"The email for contacting the organisation. To avoid unnecessary processing of personal data, the email may allow the identification of a physical person only when necessary (in the sense of the General Data Protection Regulation).",CM,I.1.10,E-mail,27,15
++,BT-506,Organisation Contact Email Address,Text,No,"The email for contacting the organisation. To avoid unnecessary processing of personal data, the email may allow the identification of a physical person only when necessary (in the sense of the General Data Protection Regulation).",CM,I.1.10,E-mail,28,15
++,BT-503,Organisation Contact Telephone Number,Text,No,"The telephone for contacting the organisation. To avoid unnecessary processing of personal data, the telephone may allow the identification of a physical person only when necessary (in the sense of the General Data Protection Regulation).",EM,I.1.9,Telephone,25,15
++,BT-503,Organisation Contact Telephone Number,Text,No,"The telephone for contacting the organisation. To avoid unnecessary processing of personal data, the telephone may allow the identification of a physical person only when necessary (in the sense of the General Data Protection Regulation).",EM,I.1.9,Telephone,26,15
++,BT-503,Organisation Contact Telephone Number,Text,No,"The telephone for contacting the organisation. To avoid unnecessary processing of personal data, the telephone may allow the identification of a physical person only when necessary (in the sense of the General Data Protection Regulation).",EM,I.1.9,Telephone,27,15
++,BT-503,Organisation Contact Telephone Number,Text,No,"The telephone for contacting the organisation. To avoid unnecessary processing of personal data, the telephone may allow the identification of a physical person only when necessary (in the sense of the General Data Protection Regulation).",EM,I.1.9,Telephone,28,15
++,BT-739,Organisation Contact Fax,Text,No,"The fax for contacting the organisation. To avoid unnecessary processing of personal data, the fax may allow the identification of a physical person only when necessary (in the sense of the General Data Protection Regulation).",EM,I.1.11,Fax,25,15
++,BT-739,Organisation Contact Fax,Text,No,"The fax for contacting the organisation. To avoid unnecessary processing of personal data, the fax may allow the identification of a physical person only when necessary (in the sense of the General Data Protection Regulation).",EM,I.1.11,Fax,26,15
++,BT-739,Organisation Contact Fax,Text,No,"The fax for contacting the organisation. To avoid unnecessary processing of personal data, the fax may allow the identification of a physical person only when necessary (in the sense of the General Data Protection Regulation).",EM,I.1.11,Fax,27,15
++,BT-739,Organisation Contact Fax,Text,No,"The fax for contacting the organisation. To avoid unnecessary processing of personal data, the fax may allow the identification of a physical person only when necessary (in the sense of the General Data Protection Regulation).",EM,I.1.11,Fax,28,15
++,BT-505,Organisation Internet Address,URL,No,The website of the organisation.,EM,VI.4.1.8,Internet Addresses (URL),25,15
++,BT-505,Organisation Internet Address,URL,No,The website of the organisation.,EM,VI.4.1.8,Internet Addresses (URL),26,15
++,BT-505,Organisation Internet Address,URL,No,The website of the organisation.,EM,VI.4.1.8,Internet Addresses (URL),27,15
++,BT-505,Organisation Internet Address,URL,No,The website of the organisation.,EM,VI.4.1.8,Internet Addresses (URL),28,15
++,BT-509,Organisation eDelivery Gateway,URL,No,The organisation's uniform resource locator for exchange of data and documents.,O,new term overall,,25,15
++,BT-509,Organisation eDelivery Gateway,URL,No,The organisation's uniform resource locator for exchange of data and documents.,O,new term overall,,26,15
++,BT-509,Organisation eDelivery Gateway,URL,No,The organisation's uniform resource locator for exchange of data and documents.,O,new term overall,,27,15
++,BT-509,Organisation eDelivery Gateway,URL,No,The organisation's uniform resource locator for exchange of data and documents.,O,new term overall,,28,15
++,BT-633,Organisation Natural Person,Indicator,No,The organisation is a natural person.,O,new term overall,,25,15
++,BT-633,Organisation Natural Person,Indicator,No,The organisation is a natural person.,O,new term overall,,26,15
++,BT-633,Organisation Natural Person,Indicator,No,The organisation is a natural person.,O,new term overall,,27,15
++,BT-633,Organisation Natural Person,Indicator,No,The organisation is a natural person.,O,new term overall,,28,15
++,BT-08,Organisation Role,Code,No,"The role of the organisation in the procurement procedure (e.g. buyer, winner). A notice must contain all organisations in the procedure that have the role of a buyer; a winner; a review body; a buyer acquiring supplies and/or services intended for other buyers; a buyer awarding public contracts or concluding framework agreements for works, supplies or services intended for other buyers.",M,new term overall,,25,15
++,BT-08,Organisation Role,Code,No,"The role of the organisation in the procurement procedure (e.g. buyer, winner). A notice must contain all organisations in the procedure that have the role of a buyer; a winner; a review body; a buyer acquiring supplies and/or services intended for other buyers; a buyer awarding public contracts or concluding framework agreements for works, supplies or services intended for other buyers.",M,new term overall,,26,15
++,BT-08,Organisation Role,Code,No,"The role of the organisation in the procurement procedure (e.g. buyer, winner). A notice must contain all organisations in the procedure that have the role of a buyer; a winner; a review body; a buyer acquiring supplies and/or services intended for other buyers; a buyer awarding public contracts or concluding framework agreements for works, supplies or services intended for other buyers.",M,new term overall,,27,15
++,BT-08,Organisation Role,Code,No,"The role of the organisation in the procurement procedure (e.g. buyer, winner). A notice must contain all organisations in the procedure that have the role of a buyer; a winner; a review body; a buyer acquiring supplies and/or services intended for other buyers; a buyer awarding public contracts or concluding framework agreements for works, supplies or services intended for other buyers.",M,new term overall,,28,15
++,BT-770,Organisation Subrole,Code,Yes,"The sub-role of the organisation in the procurement procedure (e.g. group leader, organisation providing additional information about the procurement procedure).",O,new term overall,,25,15
++,BT-770,Organisation Subrole,Code,Yes,"The sub-role of the organisation in the procurement procedure (e.g. group leader, organisation providing additional information about the procurement procedure).",O,new term overall,,26,15
++,BT-770,Organisation Subrole,Code,Yes,"The sub-role of the organisation in the procurement procedure (e.g. group leader, organisation providing additional information about the procurement procedure).",O,new term overall,,27,15
++,BT-770,Organisation Subrole,Code,Yes,"The sub-role of the organisation in the procurement procedure (e.g. group leader, organisation providing additional information about the procurement procedure).",O,new term overall,,28,15
+++,BT-508,Buyer Profile URL,URL,No,"The website where the buyer publishes information regarding procurement procedures (e.g. notices, procurement documents).",O,new term,,25,15
+++,BT-508,Buyer Profile URL,URL,No,"The website where the buyer publishes information regarding procurement procedures (e.g. notices, procurement documents).",O,new term,,26,15
+++,BT-508,Buyer Profile URL,URL,No,"The website where the buyer publishes information regarding procurement procedures (e.g. notices, procurement documents).",O,new term,,27,15
+++,BT-508,Buyer Profile URL,URL,No,"The website where the buyer publishes information regarding procurement procedures (e.g. notices, procurement documents).",O,new term,,28,15
+++,BT-11,Buyer Legal Type,Code,No,"The type of buyer according to procurement legislation (e.g. central government authority, body governed by public law, public undertaking).",O,I.4,Type of the contracting authority (in the case of a notice published by a contracting authority),25,15
+++,BT-11,Buyer Legal Type,Code,No,"The type of buyer according to procurement legislation (e.g. central government authority, body governed by public law, public undertaking).",O,I.4,Type of the contracting authority (in the case of a notice published by a contracting authority),26,15
+++,BT-11,Buyer Legal Type,Code,No,"The type of buyer according to procurement legislation (e.g. central government authority, body governed by public law, public undertaking).",O,I.4,Type of the contracting authority (in the case of a notice published by a contracting authority),27,15
+++,BT-11,Buyer Legal Type,Code,No,"The type of buyer according to procurement legislation (e.g. central government authority, body governed by public law, public undertaking).",O,I.4,Type of the contracting authority (in the case of a notice published by a contracting authority),28,15
+++,BT-740,Buyer Contracting Entity,Indicator,No,The buyer is a contracting entity.,O,new term overall,,25,15
+++,BT-740,Buyer Contracting Entity,Indicator,No,The buyer is a contracting entity.,O,new term overall,,26,15
+++,BT-740,Buyer Contracting Entity,Indicator,No,The buyer is a contracting entity.,O,new term overall,,27,15
+++,BT-740,Buyer Contracting Entity,Indicator,No,The buyer is a contracting entity.,O,new term overall,,28,15
+++,BT-10,Activity Authority,Code,No,The main activity of the contracting authority.,O,I.5,Main activity (in the case of a notice published by a contracting authority),25,15
+++,BT-10,Activity Authority,Code,No,The main activity of the contracting authority.,O,I.5,Main activity (in the case of a notice published by a contracting authority),26,15
+++,BT-10,Activity Authority,Code,No,The main activity of the contracting authority.,O,I.5,Main activity (in the case of a notice published by a contracting authority),27,15
+++,BT-10,Activity Authority,Code,No,The main activity of the contracting authority.,O,I.5,Main activity (in the case of a notice published by a contracting authority),28,15
+++,BT-10,Activity Authority,Code,No,The main activity of the contracting authority.,O,I.6,Main activity (in the case of a notice published by a contracting authority),25,15
+++,BT-10,Activity Authority,Code,No,The main activity of the contracting authority.,O,I.6,Main activity (in the case of a notice published by a contracting authority),26,15
+++,BT-10,Activity Authority,Code,No,The main activity of the contracting authority.,O,I.6,Main activity (in the case of a notice published by a contracting authority),27,15
+++,BT-10,Activity Authority,Code,No,The main activity of the contracting authority.,O,I.6,Main activity (in the case of a notice published by a contracting authority),28,15
+++,BT-610,Activity Entity,Code,No,The main activity of the contracting entity.,O,new term overall,,25,15
+++,BT-610,Activity Entity,Code,No,The main activity of the contracting entity.,O,new term overall,,26,15
+++,BT-610,Activity Entity,Code,No,The main activity of the contracting entity.,O,new term overall,,27,15
+++,BT-610,Activity Entity,Code,No,The main activity of the contracting entity.,O,new term overall,,28,15
+++,BT-165,Winner Size,Code,No,"The size of the winner, tenderer or subcontractor (e.g. micro enterprise, small enterprise, medium enterprise).",O,V.2.3.12,The contractor is an SME,25,15
+++,BT-165,Winner Size,Code,No,"The size of the winner, tenderer or subcontractor (e.g. micro enterprise, small enterprise, medium enterprise).",O,V.2.3.12,The contractor is an SME,26,15
+++,BT-165,Winner Size,Code,No,"The size of the winner, tenderer or subcontractor (e.g. micro enterprise, small enterprise, medium enterprise).",O,V.2.3.12,The contractor is an SME,27,15
+++,BT-165,Winner Size,Code,No,"The size of the winner, tenderer or subcontractor (e.g. micro enterprise, small enterprise, medium enterprise).",O,V.2.3.12,The contractor is an SME,28,15
+++,BT-706,Winner Owner Nationality,Code,Yes,"The nationality (or nationalities) of the beneficiary owner(s) of the winner, tenderer, or subcontractor; as published in the register(s) established by anti-money laundering legislation. If such a register does not exist (e.g. in case of non-EU contractors) then equivalent information from other sources.",O,new term overall,,25,15
+++,BT-706,Winner Owner Nationality,Code,Yes,"The nationality (or nationalities) of the beneficiary owner(s) of the winner, tenderer, or subcontractor; as published in the register(s) established by anti-money laundering legislation. If such a register does not exist (e.g. in case of non-EU contractors) then equivalent information from other sources.",O,new term overall,,26,15
+++,BT-706,Winner Owner Nationality,Code,Yes,"The nationality (or nationalities) of the beneficiary owner(s) of the winner, tenderer, or subcontractor; as published in the register(s) established by anti-money laundering legislation. If such a register does not exist (e.g. in case of non-EU contractors) then equivalent information from other sources.",O,new term overall,,27,15
+++,BT-706,Winner Owner Nationality,Code,Yes,"The nationality (or nationalities) of the beneficiary owner(s) of the winner, tenderer, or subcontractor; as published in the register(s) established by anti-money laundering legislation. If such a register does not exist (e.g. in case of non-EU contractors) then equivalent information from other sources.",O,new term overall,,28,15
+++,BT-746,Winner Listed,Indicator,No,"The nationality (or nationalities) of the beneficiary owner(s) of the winner, tenderer, or subcontractor is not published in the register(s) established by anti-money laundering legislation, because the winner is listed on a regulated market (e.g. a stock exchange) that ensures adequate transparency in line with anti-money laundering legislation.",O,new term overall,,25,15
+++,BT-746,Winner Listed,Indicator,No,"The nationality (or nationalities) of the beneficiary owner(s) of the winner, tenderer, or subcontractor is not published in the register(s) established by anti-money laundering legislation, because the winner is listed on a regulated market (e.g. a stock exchange) that ensures adequate transparency in line with anti-money laundering legislation.",O,new term overall,,26,15
+++,BT-746,Winner Listed,Indicator,No,"The nationality (or nationalities) of the beneficiary owner(s) of the winner, tenderer, or subcontractor is not published in the register(s) established by anti-money laundering legislation, because the winner is listed on a regulated market (e.g. a stock exchange) that ensures adequate transparency in line with anti-money laundering legislation.",O,new term overall,,27,15
+++,BT-746,Winner Listed,Indicator,No,"The nationality (or nationalities) of the beneficiary owner(s) of the winner, tenderer, or subcontractor is not published in the register(s) established by anti-money laundering legislation, because the winner is listed on a regulated market (e.g. a stock exchange) that ensures adequate transparency in line with anti-money laundering legislation.",O,new term overall,,28,15
++,BT-137,Purpose Lot Identifier,Identifier,No,"The identifier of a lot. In case of PINs used only for information, the identifier of a part of the notice that may later become a lot or a self-standing procedure. The information in the purpose section refers to this lot or part.",CM,II.2.1.1,Lot no,25,15
++,BT-137,Purpose Lot Identifier,Identifier,No,"The identifier of a lot. In case of PINs used only for information, the identifier of a part of the notice that may later become a lot or a self-standing procedure. The information in the purpose section refers to this lot or part.",CM,II.2.1.1,Lot no,26,15
++,BT-137,Purpose Lot Identifier,Identifier,No,"The identifier of a lot. In case of PINs used only for information, the identifier of a part of the notice that may later become a lot or a self-standing procedure. The information in the purpose section refers to this lot or part.",CM,II.2.1.1,Lot no,27,15
++,BT-137,Purpose Lot Identifier,Identifier,No,"The identifier of a lot. In case of PINs used only for information, the identifier of a part of the notice that may later become a lot or a self-standing procedure. The information in the purpose section refers to this lot or part.",CM,II.2.1.1,Lot no,28,15
++,BT-22,Internal Identifier,Text,No,The internal identifier used for files regarding the procurement procedure or lot before a procedure identifier is given (e.g. coming from the buyer's document management system or procurement planning system). ,O,II.1.1.1,Reference number,25,15
++,BT-22,Internal Identifier,Text,No,The internal identifier used for files regarding the procurement procedure or lot before a procedure identifier is given (e.g. coming from the buyer's document management system or procurement planning system). ,O,II.1.1.1,Reference number,26,15
++,BT-22,Internal Identifier,Text,No,The internal identifier used for files regarding the procurement procedure or lot before a procedure identifier is given (e.g. coming from the buyer's document management system or procurement planning system). ,O,II.1.1.1,Reference number,27,15
++,BT-22,Internal Identifier,Text,No,The internal identifier used for files regarding the procurement procedure or lot before a procedure identifier is given (e.g. coming from the buyer's document management system or procurement planning system). ,O,II.1.1.1,Reference number,28,15
++,BT-23,Main Nature,Code,No,"The main nature (e.g. works) of what is being bought. In case of mixed procurement (e.g. a procedure for both works and services), the main nature may be, for example, the one with the highest estimated value. This information must be given for the whole procedure.",CM,II.1.3,Type of contract,25,15
++,BT-23,Main Nature,Code,No,"The main nature (e.g. works) of what is being bought. In case of mixed procurement (e.g. a procedure for both works and services), the main nature may be, for example, the one with the highest estimated value. This information must be given for the whole procedure.",CM,II.1.3,Type of contract,26,15
++,BT-23,Main Nature,Code,No,"The main nature (e.g. works) of what is being bought. In case of mixed procurement (e.g. a procedure for both works and services), the main nature may be, for example, the one with the highest estimated value. This information must be given for the whole procedure.",CM,II.1.3,Type of contract,27,15
++,BT-23,Main Nature,Code,No,"The main nature (e.g. works) of what is being bought. In case of mixed procurement (e.g. a procedure for both works and services), the main nature may be, for example, the one with the highest estimated value. This information must be given for the whole procedure.",CM,II.1.3,Type of contract,28,15
++,BT-531,Additional Nature,Code,Yes,"The nature (e.g. services) of what is being bought, additional to Main Nature.",EM,new term,,25,15
++,BT-531,Additional Nature,Code,Yes,"The nature (e.g. services) of what is being bought, additional to Main Nature.",EM,new term,,26,15
++,BT-531,Additional Nature,Code,Yes,"The nature (e.g. services) of what is being bought, additional to Main Nature.",EM,new term,,27,15
++,BT-531,Additional Nature,Code,Yes,"The nature (e.g. services) of what is being bought, additional to Main Nature.",EM,new term,,28,15
++,BT-21,Title,Text,No,The name of the procurement procedure or lot.,M,II.1.1,Title,25,15
++,BT-21,Title,Text,No,The name of the procurement procedure or lot.,M,II.1.1,Title,26,15
++,BT-21,Title,Text,No,The name of the procurement procedure or lot.,M,II.1.1,Title,27,15
++,BT-21,Title,Text,No,The name of the procurement procedure or lot.,M,II.1.1,Title,28,15
++,BT-21,Title,Text,No,The name of the procurement procedure or lot.,M,II.2.1,Title,25,15
++,BT-21,Title,Text,No,The name of the procurement procedure or lot.,M,II.2.1,Title,26,15
++,BT-21,Title,Text,No,The name of the procurement procedure or lot.,M,II.2.1,Title,27,15
++,BT-21,Title,Text,No,The name of the procurement procedure or lot.,M,II.2.1,Title,28,15
++,BT-24,Description,Text,No,"The description of the nature and quantity of what is being bought or of the needs and requirements that should be met in this procedure or lot. In case of a modification notice, the description of the procurement before and after the modification.",M,II.1.4,Short description,25,15
++,BT-24,Description,Text,No,"The description of the nature and quantity of what is being bought or of the needs and requirements that should be met in this procedure or lot. In case of a modification notice, the description of the procurement before and after the modification.",M,II.1.4,Short description,26,15
++,BT-24,Description,Text,No,"The description of the nature and quantity of what is being bought or of the needs and requirements that should be met in this procedure or lot. In case of a modification notice, the description of the procurement before and after the modification.",M,II.1.4,Short description,27,15
++,BT-24,Description,Text,No,"The description of the nature and quantity of what is being bought or of the needs and requirements that should be met in this procedure or lot. In case of a modification notice, the description of the procurement before and after the modification.",M,II.1.4,Short description,28,15
++,BT-24,Description,Text,No,"The description of the nature and quantity of what is being bought or of the needs and requirements that should be met in this procedure or lot. In case of a modification notice, the description of the procurement before and after the modification.",M,II.2.4,Description of the procurement,25,15
++,BT-24,Description,Text,No,"The description of the nature and quantity of what is being bought or of the needs and requirements that should be met in this procedure or lot. In case of a modification notice, the description of the procurement before and after the modification.",M,II.2.4,Description of the procurement,26,15
++,BT-24,Description,Text,No,"The description of the nature and quantity of what is being bought or of the needs and requirements that should be met in this procedure or lot. In case of a modification notice, the description of the procurement before and after the modification.",M,II.2.4,Description of the procurement,27,15
++,BT-24,Description,Text,No,"The description of the nature and quantity of what is being bought or of the needs and requirements that should be met in this procedure or lot. In case of a modification notice, the description of the procurement before and after the modification.",M,II.2.4,Description of the procurement,28,15
+++,BT-557,Group Framework Estimated Maximum Value Lot Identifier,Identifier,Yes,Identifiers of lots. These lots form a group whose estimated maximum value is lower than the sum of individual estimated maximum values of all the lots together (e.g. when the same budget is shared for several lots).,O,new term overall,,25,15
+++,BT-557,Group Framework Estimated Maximum Value Lot Identifier,Identifier,Yes,Identifiers of lots. These lots form a group whose estimated maximum value is lower than the sum of individual estimated maximum values of all the lots together (e.g. when the same budget is shared for several lots).,O,new term overall,,26,15
+++,BT-557,Group Framework Estimated Maximum Value Lot Identifier,Identifier,Yes,Identifiers of lots. These lots form a group whose estimated maximum value is lower than the sum of individual estimated maximum values of all the lots together (e.g. when the same budget is shared for several lots).,O,new term overall,,27,15
+++,BT-557,Group Framework Estimated Maximum Value Lot Identifier,Identifier,Yes,Identifiers of lots. These lots form a group whose estimated maximum value is lower than the sum of individual estimated maximum values of all the lots together (e.g. when the same budget is shared for several lots).,O,new term overall,,28,15
+++,BT-157,Group Framework Estimated Maximum Value,Value,No,"The estimated maximum value which can be spent in a framework agreement within a group of lots. This information can be provided when the estimated maximum value of a group of lots is lower than the sum of estimated values of individual lots in this group (e.g. when the same budget is shared for several lots). Estimated refers to estimation at the time of launching the call for competition. Maximum value means a value covering all contracts to be awarded within a framework agreement over its whole duration, including options and renewals.",O,new term overall,,25,15
+++,BT-157,Group Framework Estimated Maximum Value,Value,No,"The estimated maximum value which can be spent in a framework agreement within a group of lots. This information can be provided when the estimated maximum value of a group of lots is lower than the sum of estimated values of individual lots in this group (e.g. when the same budget is shared for several lots). Estimated refers to estimation at the time of launching the call for competition. Maximum value means a value covering all contracts to be awarded within a framework agreement over its whole duration, including options and renewals.",O,new term overall,,26,15
+++,BT-157,Group Framework Estimated Maximum Value,Value,No,"The estimated maximum value which can be spent in a framework agreement within a group of lots. This information can be provided when the estimated maximum value of a group of lots is lower than the sum of estimated values of individual lots in this group (e.g. when the same budget is shared for several lots). Estimated refers to estimation at the time of launching the call for competition. Maximum value means a value covering all contracts to be awarded within a framework agreement over its whole duration, including options and renewals.",O,new term overall,,27,15
+++,BT-157,Group Framework Estimated Maximum Value,Value,No,"The estimated maximum value which can be spent in a framework agreement within a group of lots. This information can be provided when the estimated maximum value of a group of lots is lower than the sum of estimated values of individual lots in this group (e.g. when the same budget is shared for several lots). Estimated refers to estimation at the time of launching the call for competition. Maximum value means a value covering all contracts to be awarded within a framework agreement over its whole duration, including options and renewals.",O,new term overall,,28,15
+++,BT-26,Classification Type,Code,No,The type of classification describing the purchase (e.g. the common procurement vocabulary).,M,new term overall,,25,15
+++,BT-26,Classification Type,Code,No,The type of classification describing the purchase (e.g. the common procurement vocabulary).,M,new term overall,,26,15
+++,BT-26,Classification Type,Code,No,The type of classification describing the purchase (e.g. the common procurement vocabulary).,M,new term overall,,27,15
+++,BT-26,Classification Type,Code,No,The type of classification describing the purchase (e.g. the common procurement vocabulary).,M,new term overall,,28,15
+++,BT-262,Main Classification Code,Code,No,The code from the classification that best characterizes the purchase.,CM,II.1.2,Main CPV code,25,15
+++,BT-262,Main Classification Code,Code,No,The code from the classification that best characterizes the purchase.,CM,II.1.2,Main CPV code,26,15
+++,BT-262,Main Classification Code,Code,No,The code from the classification that best characterizes the purchase.,CM,II.1.2,Main CPV code,27,15
+++,BT-262,Main Classification Code,Code,No,The code from the classification that best characterizes the purchase.,CM,II.1.2,Main CPV code,28,15
+++,BT-263,Additional Classification Codes,Code,Yes,An additional code from the classification that also characterize the purchase.,O,new term overall,,25,15
+++,BT-263,Additional Classification Codes,Code,Yes,An additional code from the classification that also characterize the purchase.,O,new term overall,,26,15
+++,BT-263,Additional Classification Codes,Code,Yes,An additional code from the classification that also characterize the purchase.,O,new term overall,,27,15
+++,BT-263,Additional Classification Codes,Code,Yes,An additional code from the classification that also characterize the purchase.,O,new term overall,,28,15
++,BT-25,Quantity,Number,No,The number of units required.,O,new term,,25,15
++,BT-25,Quantity,Number,No,The number of units required.,O,new term,,26,15
++,BT-25,Quantity,Number,No,The number of units required.,O,new term,,27,15
++,BT-25,Quantity,Number,No,The number of units required.,O,new term,,28,15
++,BT-625,Unit,Code,No,"The unit which the good, service, or work comes in, for example hours or kilograms. Where CPV code is a supply which does not need a further unit (e.g. cars), then no unit needs to be given and quantity is taken to be a count, e.g. the ""number of cars"". ",O,new term overall,,25,15
++,BT-625,Unit,Code,No,"The unit which the good, service, or work comes in, for example hours or kilograms. Where CPV code is a supply which does not need a further unit (e.g. cars), then no unit needs to be given and quantity is taken to be a count, e.g. the ""number of cars"". ",O,new term overall,,26,15
++,BT-625,Unit,Code,No,"The unit which the good, service, or work comes in, for example hours or kilograms. Where CPV code is a supply which does not need a further unit (e.g. cars), then no unit needs to be given and quantity is taken to be a count, e.g. the ""number of cars"". ",O,new term overall,,27,15
++,BT-625,Unit,Code,No,"The unit which the good, service, or work comes in, for example hours or kilograms. Where CPV code is a supply which does not need a further unit (e.g. cars), then no unit needs to be given and quantity is taken to be a count, e.g. the ""number of cars"". ",O,new term overall,,28,15
++,BT-53,Options,Indicator,No,The buyer reserves the right (not an obligation) for additional purchases from the contractor (while the contract is valid).,O,II.2.11.1,Options,25,15
++,BT-53,Options,Indicator,No,The buyer reserves the right (not an obligation) for additional purchases from the contractor (while the contract is valid).,O,II.2.11.1,Options,26,15
++,BT-53,Options,Indicator,No,The buyer reserves the right (not an obligation) for additional purchases from the contractor (while the contract is valid).,O,II.2.11.1,Options,27,15
++,BT-53,Options,Indicator,No,The buyer reserves the right (not an obligation) for additional purchases from the contractor (while the contract is valid).,O,II.2.11.1,Options,28,15
++,BT-54,Options Description,Text,No,The description of the options.,O,II.2.11.2,Description of options,25,15
++,BT-54,Options Description,Text,No,The description of the options.,O,II.2.11.2,Description of options,26,15
++,BT-54,Options Description,Text,No,The description of the options.,O,II.2.11.2,Description of options,27,15
++,BT-54,Options Description,Text,No,The description of the options.,O,II.2.11.2,Description of options,28,15
++,BT-1372,Place Performance Lot Identifier,Identifier,Yes,"An identifier of one or more lots. In case of PINs used only for information, the identifier of one or more parts of the notice that may later become lots or a self-standing procedures. The information in the place of performance section refers to this lot (or part) or these lots (or parts).",O,II.2.1.1,Lot no,25,15
++,BT-1372,Place Performance Lot Identifier,Identifier,Yes,"An identifier of one or more lots. In case of PINs used only for information, the identifier of one or more parts of the notice that may later become lots or a self-standing procedures. The information in the place of performance section refers to this lot (or part) or these lots (or parts).",O,II.2.1.1,Lot no,26,15
++,BT-1372,Place Performance Lot Identifier,Identifier,Yes,"An identifier of one or more lots. In case of PINs used only for information, the identifier of one or more parts of the notice that may later become lots or a self-standing procedures. The information in the place of performance section refers to this lot (or part) or these lots (or parts).",O,II.2.1.1,Lot no,27,15
++,BT-1372,Place Performance Lot Identifier,Identifier,Yes,"An identifier of one or more lots. In case of PINs used only for information, the identifier of one or more parts of the notice that may later become lots or a self-standing procedures. The information in the place of performance section refers to this lot (or part) or these lots (or parts).",O,II.2.1.1,Lot no,28,15
++,BT-5101,Place Performance Street,Text,No,"The name of the street, road, avenue, etc., of the place of performance and further identification (e.g. building number).",O,II.2.3.2,Main site or place of performance,25,15
++,BT-5101,Place Performance Street,Text,No,"The name of the street, road, avenue, etc., of the place of performance and further identification (e.g. building number).",O,II.2.3.2,Main site or place of performance,26,15
++,BT-5101,Place Performance Street,Text,No,"The name of the street, road, avenue, etc., of the place of performance and further identification (e.g. building number).",O,II.2.3.2,Main site or place of performance,27,15
++,BT-5101,Place Performance Street,Text,No,"The name of the street, road, avenue, etc., of the place of performance and further identification (e.g. building number).",O,II.2.3.2,Main site or place of performance,28,15
++,BT-5131,Place Performance City,Text,No,"The name of the locality (city, town or village) of the place of performance.",O,II.2.3.2,Main site or place of performance,25,15
++,BT-5131,Place Performance City,Text,No,"The name of the locality (city, town or village) of the place of performance.",O,II.2.3.2,Main site or place of performance,26,15
++,BT-5131,Place Performance City,Text,No,"The name of the locality (city, town or village) of the place of performance.",O,II.2.3.2,Main site or place of performance,27,15
