id,eforms_xpath,group,bt,name,notes
298,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:AppealInformationParty/cac:PostalAddress/cbc:IdentificationCode,ProcurementProjectLot_tenderingTerms_rev-info,BT-514,Country Code,
299,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:AppealInformationParty/cac:Contact/cbc:Name,ProcurementProjectLot_tenderingTerms_rev-info,BT-502,Contact Point,
300,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:AppealInformationParty/cac:Contact/cbc:ElectronicMail,ProcurementProjectLot_tenderingTerms_rev-info,BT-506,Contact Email Address,
301,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:AppealInformationParty/cac:Contact/cbc:Telephone,ProcurementProjectLot_tenderingTerms_rev-info,BT-503,Contact Telephone Number,
302,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:AppealInformationParty/cac:Contact/cbc:Telefax,ProcurementProjectLot_tenderingTerms_rev-info,BT-739,Contact Fax,
303,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:MediationParty/cbc:WebsiteURI,ProcurementProjectLot_tenderingTerms_mediator,BT-505,Internet Address,
304,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:MediationParty/cbc:EndpointID,ProcurementProjectLot_tenderingTerms_mediator,BT-509,eDelivery Gateway,.
305,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:MediationParty/cbc:IndustryClassificationCode[@listName='legal-person'],ProcurementProjectLot_tenderingTerms_mediator,BT-633,Organisation Natural Person,
306,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:MediationParty/cac:PartyName/cbc:Name,ProcurementProjectLot_tenderingTerms_mediator,BT-500,Name,
307,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:MediationParty/cac:PartyLegalEntity/cbc:CompanyID,ProcurementProjectLot_tenderingTerms_mediator,BT-501,Identifier,
308,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:MediationParty/cac:PostalAddress/cbc:Department,ProcurementProjectLot_tenderingTerms_mediator,BT-16,Part Name,
309,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:MediationParty/cac:PostalAddress/cbc:StreetName,ProcurementProjectLot_tenderingTerms_mediator,BT-510,Street,
310,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:MediationParty/cac:PostalAddress/cbc:CityName,ProcurementProjectLot_tenderingTerms_mediator,BT-513,City,
311,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:MediationParty/cac:PostalAddress/cbc:PostalZone,ProcurementProjectLot_tenderingTerms_mediator,BT-512,Post Code,
312,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:MediationParty/cac:PostalAddress/cbc:CountrySubentityCode,ProcurementProjectLot_tenderingTerms_mediator,BT-507,Country Subdivision,NUTS3 code
313,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:MediationParty/cac:PostalAddress/cbc:IdentificationCode,ProcurementProjectLot_tenderingTerms_mediator,BT-514,Country Code,
314,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:MediationParty/cac:Contact/cbc:Name,ProcurementProjectLot_tenderingTerms_mediator,BT-502,Contact Point,
315,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:MediationParty/cac:Contact/cbc:ElectronicMail,ProcurementProjectLot_tenderingTerms_mediator,BT-506,Contact Email Address,
316,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:MediationParty/cac:Contact/cbc:Telephone,ProcurementProjectLot_tenderingTerms_mediator,BT-503,Contact Telephone Number,
317,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:MediationParty/cac:Contact/cbc:Telefax,ProcurementProjectLot_tenderingTerms_mediator,BT-739,Contact Fax,
318,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:Language/cbc:ID,ProcurementProjectLot_tenderingTerms_mediator,BT-97,Submission Language,
319,/*/cac:TenderingTerms/cac:LotDistribution/cbc:MaximumLotsAwardedNumeric,ProcurementProjectLot_tenderingTerms_mediator,BT-33,Lots Max Awarded,
320,/*/cac:TenderingTerms/cac:LotDistribution/cbc:MaximumLotsSubmittedNumeric,ProcurementProjectLot_tenderingTerms_mediator,BT-31,Lots Max Allowed,
321,/*/cac:TenderingTerms/cac:LotDistribution/cac:LotsGroup/cbc:LotsGroupID,ProcurementProjectLot_tenderingTerms_mediator,BT-330,Group Identifier,
322,/*/cac:TenderingTerms/cac:LotDistribution/cac:LotsGroup/cac:ProcurementProjectLotReference/cbc:ID[@schemeName='Lot'],ProcurementProjectLot_tenderingTerms_mediator,BT-1375,Group Lot Identifier,
323,/*/cac:ProcurementProjectLot/cac:TenderingTerms/PostAwardProcess/cbc:ElectronicOrderUsageIndicator,ProcurementProjectLot_tenderingTerms_mediator,BT-92,Electronic Ordering,
324,/*/cac:ProcurementProjectLot/cac:TenderingTerms /cac:PostAwardProcess/cbc:ElectronicPaymentUsageIndicator,ProcurementProjectLot_tenderingTerms_mediator,BT-93,Electronic Payment,
325,/ContractNotice/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AwardingTerms/cac:EconomicOperatorShortList/cac:PreSelectedParty/cac:PartyName/cbc:Name,ProcurementProjectLot_tenderingTerms_mediator,BT-47,Participant Name,
326,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:SecurityClearanceTerms/cbcSecurityClearanceCode,ProcurementProjectLot_tenderingTerms_mediator,BT-578,Security Clearance,
327,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:SecurityClearanceTerms/cbcSecurityClearanceDescription,ProcurementProjectLot_tenderingTerms_mediator,BT-732,Security Clearance Description,
328,/ContractAwardNotice/cac:ProcurementProjectLot/cac:TenderingProcess/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:ReceivedSubmissionsStatistics/efbc:StatisticalNumeric,ProcurementProjectLot_tenderingProcess,BT-759,Received Submissions Count,
329,/ContractAwardNotice/cac:ProcurementProjectLot/cac:TenderingProcess/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:ReceivedSubmissionsStatistics/efbc:StatisticsCode[@listName='received-submission-type'],ProcurementProjectLot_tenderingProcess,BT-760,Received Submissions Type,
330,/ContractAwardNotice/cac:ProcurementProjectLot/cac:TenderingProcess/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/cbc:LowerTenderAmount,ProcurementProjectLot_tenderingProcess,BT-710,Tender Value Lowest,
331,/ContractAwardNotice/cac:ProcurementProjectLot/cac:TenderingProcess/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/cbc:HigherTenderAmount,ProcurementProjectLot_tenderingProcess,BT-711,Tender Value Highest,
332,/ContractAwardNotice/cac:ProcurementProjectLot/cac:TenderingProcess/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:TenderingParty/cbc:WebsiteURI,ProcurementProjectLot_tenderingProcess_tenderer,BT-505,Internet Address,
333,/ContractAwardNotice/cac:ProcurementProjectLot/cac:TenderingProcess/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:TenderingParty/cbc:EndpointID,ProcurementProjectLot_tenderingProcess_tenderer,BT-509,eDelivery Gateway,.
334,/ContractAwardNotice/cac:ProcurementProjectLot/cac:TenderingProcess/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:TenderingParty/cbc:IndustryClassificationCode[@listName='legal-person'],ProcurementProjectLot_tenderingProcess_tenderer,BT-633,Organisation Natural Person,
335,/ContractAwardNotice/cac:ProcurementProjectLot/cac:TenderingProcess/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:TenderingParty/cac:PartyName/cbc:Name,ProcurementProjectLot_tenderingProcess_tenderer,BT-500,Name,
336,/ContractAwardNotice/cac:ProcurementProjectLot/cac:TenderingProcess/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:TenderingParty/cac:PartyLegalEntity/cbc:CompanyID,ProcurementProjectLot_tenderingProcess_tenderer,BT-501,Identifier,
337,/ContractAwardNotice/cac:ProcurementProjectLot/cac:TenderingProcess/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:TenderingParty/cac:PostalAddress/cbc:Department,ProcurementProjectLot_tenderingProcess_tenderer,BT-16,Part Name,
338,/ContractAwardNotice/cac:ProcurementProjectLot/cac:TenderingProcess/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:TenderingParty/cac:PostalAddress/cbc:StreetName,ProcurementProjectLot_tenderingProcess_tenderer,BT-510,Street,
339,/ContractAwardNotice/cac:ProcurementProjectLot/cac:TenderingProcess/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:TenderingParty/cac:PostalAddress/cbc:CityName,ProcurementProjectLot_tenderingProcess_tenderer,BT-513,City,
340,/ContractAwardNotice/cac:ProcurementProjectLot/cac:TenderingProcess/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:TenderingParty/cac:PostalAddress/cbc:PostalZone,ProcurementProjectLot_tenderingProcess_tenderer,BT-512,Post Code,
341,/ContractAwardNotice/cac:ProcurementProjectLot/cac:TenderingProcess/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:TenderingParty/cac:PostalAddress/cbc:CountrySubentityCode,ProcurementProjectLot_tenderingProcess_tenderer,BT-507,Country Subdivision,NUTS3 code
342,/ContractAwardNotice/cac:ProcurementProjectLot/cac:TenderingProcess/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:TenderingParty/cac:PostalAddress/cbc:IdentificationCode,ProcurementProjectLot_tenderingProcess_tenderer,BT-514,Country Code,
343,/ContractAwardNotice/cac:ProcurementProjectLot/cac:TenderingProcess/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:TenderingParty/cac:Contact/cbc:Name,ProcurementProjectLot_tenderingProcess_tenderer,BT-502,Contact Point,
344,/ContractAwardNotice/cac:ProcurementProjectLot/cac:TenderingProcess/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:TenderingParty/cac:Contact/cbc:ElectronicMail,ProcurementProjectLot_tenderingProcess_tenderer,BT-506,Contact Email Address,
345,/ContractAwardNotice/cac:ProcurementProjectLot/cac:TenderingProcess/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:TenderingParty/cac:Contact/cbc:Telephone,ProcurementProjectLot_tenderingProcess_tenderer,BT-503,Contact Telephone Number,
346,/ContractAwardNotice/cac:ProcurementProjectLot/cac:TenderingProcess/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:TenderingParty/cac:Contact/cbc:Telefax,ProcurementProjectLot_tenderingProcess_tenderer,BT-739,Contact Fax,
347,/ContractAwardNotice/cac:ProcurementProjectLot/cac:TenderingProcess/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efbc:ProcedureRelaunchIndicator,ProcurementProjectLot_tenderingProcess,BT-634,Procurement Relaunch,
348,/*/cac:ProcurementProjectLot/cac:TenderingProcess/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efbc:AccessToolName,ProcurementProjectLot_tenderingProcess,BT-632,Tool Name,
349,/*/cac:ProcurementProjectLot/cac:TenderingProcess/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:InterestExpressionReceptionPeriod/cbc:EndDate,ProcurementProjectLot_tenderingProcess,BT-630,Deadline Receipt Expressions,
350,/*/cac:ProcurementProjectLot/cac:TenderingProcess/cac:TenderingProcess/cbc:SubmissionMethodCode[@listName='esubmission'],ProcurementProjectLot_tenderingProcess,BT-17,SubmissionElectronic,
351,/*/cac:ProcurementProjectLot/cac:TenderingProcess/cac:EconomicOperatorShortList/cbc:CandidateReductionConstraintIndicator,ProcurementProjectLot_tenderingProcess,BT-52,Successive Reduction Indicator (Procedure),
352,/*/cac:ProcurementProjectLot/cac:TenderingProcess/cbc:GovernmentAgreementConstraintIndicator,ProcurementProjectLot_tenderingProcess,BT-115,GPA Coverage,
353,/*/cac:ProcurementProjectLot/cac:TenderingProcess/cbc:AccessToolURI,ProcurementProjectLot_tenderingProcess,BT-124,Tool Atypical URL,
354,/*/cac:ProcurementProjectLot/cac:TenderingProcess/cac:TenderingProcess/cac:TenderSubmissionDeadlinePeriod/cbc:EndDate,ProcurementProjectLot_tenderingProcess,BT-131,Deadline Receipt Tenders,Date with TZ
355,/*/cac:ProcurementProjectLot/cac:TenderingProcess/cac:TenderingProcess/cac:TenderSubmissionDeadlinePeriod/cbc:EndTime,ProcurementProjectLot_tenderingProcess,BT-131,Deadline Receipt Tenders,Time with TZ
356,/*/cac:ProcurementProjectLot/cac:TenderingProcess/cac:InvitationSubmissionPeriod/cbc:StartDate,ProcurementProjectLot_tenderingProcess,BT-130,Dispatch Invitation Tender,
357,/*/cac:ProcurementProjectLot/cac:TenderingProcess/cac:ParticipationInvitationPeriod/cbc:StartDate,ProcurementProjectLot_tenderingProcess,BT-631,Dispatch Invitation Interest,
358,/*/cac:ProcurementProjectLot/cac:TenderingProcess/cac:ParticipationRequestsReceptionPeriod/cbc:EndDate,ProcurementProjectLot_tenderingProcess,BT-1311,Deadline Receipt Requests,Date with TZ
359,/*/cac:ProcurementProjectLot/cac:TenderingProcess/cac:ParticipationRequestsReceptionPeriod/cbc:EndTime,ProcurementProjectLot_tenderingProcess,BT-1311,Deadline Receipt Requests,Time with TZ
360,/*/cac:ProcurementProjectLot/cac:TenderingProcess/cac:AdditionalInformationRequestPeriod/cbc:EndDate,ProcurementProjectLot_tenderingProcess,BT-13,Additional Information Deadline,Date with TZ
361,/*/cac:ProcurementProjectLot/cac:TenderingProcess/cac:AdditionalInformationRequestPeriod/cbc:EndTime,ProcurementProjectLot_tenderingProcess,BT-13,Additional Information Deadline,Time with TZ
362,/*/cac:ProcurementProjectLot/cac:NoticeDocumentReference/cbc:ID,ProcurementProjectLot_tenderingProcess,BT-125,Previous Planning Identifier,
363,/*/cac:ProcurementProjectLot/cac:TenderingProcess/cac:NoticeDocumentReference/cbc:VersionID,ProcurementProjectLot_tenderingProcess,BT-125,Previous Planning Identifier,
364,/*/cac:ProcurementProjectLot/cac:TenderingProcess/cac:NoticeDocumentReference/cbc:ReferencedDocumentInternalAddress,ProcurementProjectLot_tenderingProcess,BT-1251,Previous Planning Part Identifier,
365,/*/cac:ProcurementProjectLot/cac:TenderingProcess/cac:ProcessJustification/cbc:ProcessReasonCode[@listName='no-esubmission-justification'],ProcurementProjectLot_tenderingProcess,BT-19,Submission Nonelectronic Justification,
366,/*/cac:ProcurementProjectLot/cac:TenderingProcess/cac:ProcessJustification[cbc:ProcessReasonCode/@listName='no-esubmission-justification']/cbc:Description,ProcurementProjectLot_tenderingProcess,BT-745,Submission Nonelectronic Description,
367,/*/cac:ProcurementProjectLot/cac:TenderingProcess/cac:EconomicOperatorShortList/cbc:LimitationDescription,ProcurementProjectLot_tenderingProcess,BT-661,Maximum Candidates Indicator,
368,/*/cac:ProcurementProjectLot/cac:TenderingProcess/cac:EconomicOperatorShortList/cbc:MaximumQuantity,ProcurementProjectLot_tenderingProcess,BT-51,Maximum Candidates,
369,/*/cac:ProcurementProjectLot/cac:TenderingProcess/cac:EconomicOperatorShortList/cbc:MinimumQuantity,ProcurementProjectLot_tenderingProcess,BT-50,Minimum Candidates,
370,/ContractNotice/cac:ProcurementProjectLot/cac:TenderingProcess/cac:OpenTenderEvent/cbc:OccurrenceDate,ProcurementProjectLot_tenderingProcess,BT-132,Public Opening Date,Date with TZ
371,/ContractNotice/cac:ProcurementProjectLot/cac:TenderingProcess/cac:OpenTenderEvent/cbc:OccurrenceTime,ProcurementProjectLot_tenderingProcess,BT-132,Public Opening Date,Time with TZ
372,/ContractNotice/cac:ProcurementProjectLot/cac:TenderingProcess/cac:OpenTenderEvent/cbc:Description,ProcurementProjectLot_tenderingProcess,BT-134,Public Opening Description,
373,/ContractNotice/cac:ProcurementProjectLot/cac:TenderingProcess/cac:OpenTenderEvent/cac:OccurenceLocation/cbc:Description,ProcurementProjectLot_tenderingProcess,BT-133,Public Opening Place,
374,/*/cac:ProcurementProjectLot/cac:TenderingProcess/cac:AuctionTerms/cbc:AuctionConstraintIndicator,ProcurementProjectLot_tenderingProcess,BT-767,Electronic Auction,
375,/*/cac:ProcurementProjectLot/cac:TenderingProcess/cac:AuctionTerms/cbc:Description,ProcurementProjectLot_tenderingProcess,BT-122,Electronic Auction Description,
376,/*/cac:ProcurementProjectLot/cac:TenderingProcess/cac:AuctionTerms/cbc:AuctionURI,ProcurementProjectLot_tenderingProcess,BT-123,Electronic Auction URL,
377,/*/cac:ProcurementProjectLot/cac:TenderingProcess/cac:FrameworkAgreement/cbc:MaximumOperatorQuantity,ProcurementProjectLot_tenderingProcess,BT-113,Framework Maximum Participants Number,
378,/*/cac:ProcurementProjectLot/cac:TenderingProcess/cac:FrameworkAgreement/cbc:Justification,ProcurementProjectLot_tenderingProcess,BT-109,Framework Duration Justification,
379,/*/cac:ProcurementProjectLot/cac:TenderingProcess/cac:FrameworkAgreement/cbc:FrameworkAgreementEstimatedMaximumValueAmount,ProcurementProjectLot_tenderingProcess,BT-157,Group Framework Estimated Maximum Value,
380,/*/cac:ProcurementProjectLot/cac:TenderingProcess/cac:FrameworkAgreement/cac:SubsequentProcessTenderRequirement[cbc:Name/text()='buyer-categories']/cbc:Description,ProcurementProjectLot_tenderingProcess,BT-111,Framework Buyer Categories,
381,/*/cac:ProcurementProjectLot/cac:TenderingProcess/cac:ContractingSystem/cbc:ContractingSystemTypeCode[@listName='framework-agreement'],ProcurementProjectLot_tenderingProcess,BT-765,Framework Agreement,
382,/*/cac:ProcurementProjectLot/cac:TenderingProcess/cac:ContractingSystem/cbc:ContractingSystemTypeCode[@listName='dps-usage'],ProcurementProjectLot_tenderingProcess,BT-766,Dynamic Purchasing System,
383,/*/cac:ProcurementProjectLot/cac:ProcurementProject/cbc:ID,ProcurementProjectLot_ProcurementProject,BT-22,Internal Identifier,
384,/*/cac:ProcurementProjectLot/cac:ProcurementProject/cbc:Name,ProcurementProjectLot_ProcurementProject,BT-21,Title,
385,/*/cac:ProcurementProjectLot/cac:ProcurementProject/cbc:Description,ProcurementProjectLot_ProcurementProject,BT-24,Description,
386,/*/cac:ProcurementProjectLot/cac:ProcurementProject/cbc:ProcurementTypeCode[@listName='contract-nature'],ProcurementProjectLot_ProcurementProject,BT-23,Main Nature,
387,/*/cac:ProcurementProjectLot/cac:ProcurementProject/cac:ProcurementAdditionalType/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/cbc:Description,ProcurementProjectLot_ProcurementProject,BT-777,Strategic Procurement Description,
388,/*/cac:ProcurementProjectLot/cac:ProcurementProject/cac:ProcurementAdditionalType/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/cbc:Description,ProcurementProjectLot_ProcurementProject,BT-755,Accessibility Justification,
389,/*/cac:ProcurementProjectLot/cac:ProcurementProject/cac:ProcurementAdditionalType/cbc:ProcurementTypeCode[@listName='contract-nature'],ProcurementProjectLot_ProcurementProject,BT-531,Additional Nature (different from Main),
390,/*/cac:ProcurementProjectLot/cac:ProcurementProject/cac:ProcurementAdditionalType/cbc:ProcurementTypeCode[@listName='environmental-impact'],ProcurementProjectLot_ProcurementProject,BT-774,Green Procurement,
391,/*/cac:ProcurementProjectLot/cac:ProcurementProject/cac:ProcurementAdditionalType/cbc:ProcurementTypeCode[@listName='social-procurement'],ProcurementProjectLot_ProcurementProject,BT-775,Social Procurement,
392,/*/cac:ProcurementProjectLot/cac:ProcurementProject/cac:ProcurementAdditionalType/cbc:ProcurementTypeCode[@listName='innovative-acquisition'],ProcurementProjectLot_ProcurementProject,BT-776,Innovative Procurement,
393,/*/cac:ProcurementProjectLot/cac:ProcurementProject/cac:ProcurementAdditionalType/cbc:ProcurementTypeCode[@listName='strategic-procurement'],ProcurementProjectLot_ProcurementProject,BT-06,Strategic Procurement,
394,/*/cac:ProcurementProjectLot/cac:ProcurementProject/cac:ProcurementAdditionalType/cbc:ProcurementTypeCode[@listName='accessibility'],ProcurementProjectLot_ProcurementProject,BT-754,Accessibility,
395,/*/cac:ProcurementProjectLot/cac:ProcurementProject/cbc:EstimatedOverallContractQuantity ,ProcurementProjectLot_ProcurementProject,BT-25,Quantity,.
396,/*/cac:ProcurementProjectLot/cac:ProcurementProject/cbc:EstimatedOverallContractQuantity/@quantityUnitCode,ProcurementProjectLot_ProcurementProject,BT-625,Unit,
397,/*/cac:ProcurementProjectLot/cac:ProcurementProject/cbc:SMESuitableIndicator,ProcurementProjectLot_ProcurementProject,BT-726,Suitable for SMEs,
398,/*/cac:ProcurementProjectLot/cac:ProcurementProject/cbc:Note,ProcurementProjectLot_ProcurementProject,BT-300,Additional Information,
399,/*/cac:ProcurementProjectLot/cac:ProcurementProject/cac:RequestedTenderTotal/cbc:EstimatedOverallContractAmount,ProcurementProjectLot_ProcurementProject,BT-27,Estimated Value,
400,/*/cac:ProcurementProjectLot/cac:ProcurementProject/cac:MainCommodityClassification/cbc:ItemClassificationCode/@listname  /*/cac:ProcurementProjectLot/cac:ProcurementProject/cac:AdditionalCommodityClassification/cbc:ItemClassificationCode/@listName,ProcurementProjectLot_ProcurementProject,BT-26,Classification Type (e.g. CPV),
401,/*/cac:ProcurementProjectLot/cac:ProcurementProject/cac:MainCommodityClassification/cbc:ItemClassificationCode,ProcurementProjectLot_ProcurementProject,BT-262,Main Classification Code,
402,/*/cac:ProcurementProjectLot/cac:ProcurementProject/cac:AdditionalCommodityClassification/cbc:ItemClassificationCode,ProcurementProjectLot_ProcurementProject,BT-263,Additional Classification Code,
403,/*/cac:ProcurementProjectLot/cac:ProcurementProject/cac:RealizedLocation/cbc:Description,ProcurementProjectLot_ProcurementProject,BT-728,Place of Performance Additional Information,
404,/*/cac:ProcurementProjectLot/cac:ProcurementProject/cac:RealizedLocation/cac:Address/cbc:CityName,ProcurementProjectLot_ProcurementProject,BT-5131,Place Performance City,
405,/*/cac:ProcurementProjectLot/cac:ProcurementProject/cac:RealizedLocation/cac:Address/cbc:PostalZone,ProcurementProjectLot_ProcurementProject,BT-5121,Place Performance Post Code,
406,/*/cac:ProcurementProjectLot/cac:ProcurementProject/cac:RealizedLocation/cac:Address/cbc:CountrySubentityCode,ProcurementProjectLot_ProcurementProject,BT-5071,Place Performance Country Subdivision,
407,/*/cac:ProcurementProjectLot/cac:ProcurementProject/cac:RealizedLocation/cac:Address/cbc:Region,ProcurementProjectLot_ProcurementProject,BT-727,Place Performance Services Other,
408,/*/cac:ProcurementProjectLot/cac:ProcurementProject/cac:RealizedLocation/cac:Addres/cbc:StreetName /*/cac:ProcurementProjectLot/cac:ProcurementProject/cac:RealizedLocation/cac:Addres/cbc:AdditionalStreetName /*/cac:ProcurementProjectLot/cac:ProcurementProject/cac:RealizedLocation/cac:Addres/cac:AddressLine/cbc:Line,ProcurementProjectLot_ProcurementProject,BT-5101,Place Performance Street,
409,/*/cac:ProcurementProjectLot/cac:ProcurementProject/cac:RealizedLocation/cac:Address/cac:Country/cbc:IdentificationCode,ProcurementProjectLot_ProcurementProject,BT-5141,Place Performance Country Code,
410,/PriorInformationNotice/cac:ProcurementProjectLot/cac:ProcurementProject/cac:PlannedPeriod/cbc:StartDate,ProcurementProjectLot_ProcurementProject,BT-536,Duration Start Date,
411,/PriorInformationNotice/cac:ProcurementProjectLot/cac:ProcurementProject/cac:PlannedPeriod/cbc:EndDate,ProcurementProjectLot_ProcurementProject,BT-537,Duration End Date,
412,/PriorInformationNotice/cac:ProcurementProjectLot/cac:ProcurementProject/cac:PlannedPeriod/cbc:DurationMeasure,ProcurementProjectLot_ProcurementProject,BT-36,Duration Period,
413,/PriorInformationNotice/cac:ProcurementProjectLot/cac:ProcurementProject/cac:PlannedPeriod/cbc:DescriptionCode,ProcurementProjectLot_ProcurementProject,BT-538,Duration Other,
414,/*/cac:ProcurementProjectLot/cac:ProcurementProject/cac:ContractExtension/cbc:OptionsDescription,ProcurementProjectLot_ProcurementProject,BT-54 (BT-53),Options Description (Options),
415,/*/cac:ProcurementProjectLot/cac:ProcurementProject/cac:ContractExtension/cbc:MaximumNumberNumeric,ProcurementProjectLot_ProcurementProject,BT-58,Renewal maximum,
416,/*/cac:ProcurementProjectLot/cac:ProcurementProject/cac:ContractExtension/cac:Renewal/cac:Period/cbc:Description,ProcurementProjectLot_ProcurementProject,BT-57,Renewal Description,
417,/ContractAwardNotice/cac:TenderResult/cbc:TenderResultCode[@listName='winner-selection-status'],TenderResult,BT-142,Winner Chosen,
418,/ContractAwardNotice/cac:TenderResult/cbc:TenderResultCode[@listName='non-award-justification'],TenderResult,BT-144,Not Awarded Reason,
419,/ContractAwardNotice/cac:TenderResult/cbc:AwardDate,TenderResult,BT-1451,Winner Decision Date,
420,/*/cac:TenderResult/cac:Contract/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:ContractModification/efbc:ChangedNoticeIdentifier,TenderResult,BT-1501,Modification Previous Section Identifier,
421,/*/cac:TenderResult/cac:Contract/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:ContractModification/efac:ChangedElement/efbc:ChangedSectionIdentifier,TenderResult,BT-1501,Modification Previous Section Identifier,
422,/*/cac:TenderResult/cac:Contract/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:ContractModification/efac:ChangedElement/efbc:ChangeDescription,TenderResult,BT-202,Modification Description,
423,/*/cac:TenderResult/cac:Contract/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:ContractModification/efac:ChangeReason/efbc:ReasonCode,TenderResult,BT-200,Modification Reason Code,
424,/*/cac:TenderResult/cac:Contract/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:ContractModification/efac:ChangeReason/efbc:ReasonDescription,TenderResult,BT-201,Modification Reason Description,
425,/ContractAwardNotice/cac:TenderResult/cac:Contract/cbc:ID,TenderResult,BT-150,Contract Identifier,
426,/ContractAwardNotice/cac:TenderResult/cac:Contract/cbc:IssueDate,TenderResult,BT-145,Contract Conclusion Date,
427,/ContractAwardNotice/cac:TenderResult/cac:Contract/cbc:Description,TenderResult,BT-721,Contract Title,
428,/ContractAwardNotice/cac:TenderResult/cac:Contract/cac:ContractDocumentReference/cbc:DocumentTypeCode[./text()='fa-setting-notice'],TenderResult,BT-768,Contract Framework Agreement,
429,/ContractAwardNotice/cac:TenderResult/cac:Contract/cac:ContractDocumentReference/cac:Attachment/cac:ExternalReference/cbc:URI,TenderResult,BT-151,Contract URL,
430,/ContractAwardNotice/cac:TenderResult/cac:Contract/cac:ContractDocumentReference/cac:Resultofverification/cac:SignatoryParty/cbc:WebsiteURI,TenderResult_signatory,BT-505,Internet Address,
