Indent level,ID,Name,Data type,Repeatable,Description,Legal Status,Level,Element,eformsNotice,sfNotice
++,BT-632,    Tool Name,Text,No,The name of the electronic tool or device used for electronic communication.,O,new term overall,,23,12
++,BT-632,    Tool Name,Text,No,The name of the electronic tool or device used for electronic communication.,O,new term overall,,24,12
++,BT-724,    Tool Atypical,Indicator,No,Electronic communication requires the use of tools and devices that are not generally available.,O,new term overall,,23,12
++,BT-724,    Tool Atypical,Indicator,No,Electronic communication requires the use of tools and devices that are not generally available.,O,new term overall,,24,12
++,BT-124,    Tool Atypical URL,URL,Yes,Electronic communication requires the use of tools and devices that are not generally available. The uniform resource locator (e.g. the web address) which gives unrestricted and full direct access to these tools and devices.,O,I.3.5,"Electronic communication requires the use of tools and devices that are not generally available. Unrestricted and full direct access to these tools and devices is possible, free of charge, at: (URL)",23,12
++,BT-124,    Tool Atypical URL,URL,Yes,Electronic communication requires the use of tools and devices that are not generally available. The uniform resource locator (e.g. the web address) which gives unrestricted and full direct access to these tools and devices.,O,I.3.5,"Electronic communication requires the use of tools and devices that are not generally available. Unrestricted and full direct access to these tools and devices is possible, free of charge, at: (URL)",24,12
++,BT-130,    Dispatch Invitation Tender,Date,No,The estimated date of dispatch of the invitations to submit tenders in two (or more) stage procedures.,O,IV.2.3,Date of dispatch of invitations to participate to selected candidates,23,12
++,BT-130,    Dispatch Invitation Tender,Date,No,The estimated date of dispatch of the invitations to submit tenders in two (or more) stage procedures.,O,IV.2.3,Date of dispatch of invitations to participate to selected candidates,24,12
++,BT-99,    Review Deadline Description,Text,No,The description of the time limits for review procedures.,O,VI.4.3,Review procedure,23,12
++,BT-99,    Review Deadline Description,Text,No,The description of the time limits for review procedures.,O,VI.4.3,Review procedure,24,12
+,BG-101,Procurement Documents,-,Yes,"Information about the procurement documents. This information may differ per lot. In case of a prior information notice used only for information, this information may differ per part of the notice that may later become a lot or a self-standing procedure.",M,---,,23,12
+,BG-101,Procurement Documents,-,Yes,"Information about the procurement documents. This information may differ per lot. In case of a prior information notice used only for information, this information may differ per part of the notice that may later become a lot or a self-standing procedure.",M,---,,24,12
++,BT-13718,    Documents Lot Identifier,Identifier,Yes,"An identifier of one or more lots. In case of PINs used only for information, the identifier of one or more parts of the notice that may later become lots or a self-standing procedures.  The information in the procurement documents section refers to this lot (or part) or these lots (or parts).",CM,new term overall,,23,12
++,BT-13718,    Documents Lot Identifier,Identifier,Yes,"An identifier of one or more lots. In case of PINs used only for information, the identifier of one or more parts of the notice that may later become lots or a self-standing procedures.  The information in the procurement documents section refers to this lot (or part) or these lots (or parts).",CM,new term overall,,24,12
++,BT-15,    Documents URL,URL,No,"The internet address for accessing (the non-restricted part of) the procurement documents. For all notices except prior information notices, the address must give access that is direct (i.e. the exact webpage with the documents, not a general website), unrestricted (e.g. no registration), full (i.e. the procurement documents must be complete) and free of charge and the documents must be available already at the time of the publication of the notice.",CM,I.3.1,"The procurement documents are available for unrestricted and full direct access, free of charge, at: (URL)",23,12
++,BT-15,    Documents URL,URL,No,"The internet address for accessing (the non-restricted part of) the procurement documents. For all notices except prior information notices, the address must give access that is direct (i.e. the exact webpage with the documents, not a general website), unrestricted (e.g. no registration), full (i.e. the procurement documents must be complete) and free of charge and the documents must be available already at the time of the publication of the notice.",CM,I.3.1,"The procurement documents are available for unrestricted and full direct access, free of charge, at: (URL)",24,12
++,BT-708,    Documents Official Language,Code,Yes,The language(s) in which the procurement documents are officially available. These linguistic versions are equally legally valid.,O,new term overall,,23,12
++,BT-708,    Documents Official Language,Code,Yes,The language(s) in which the procurement documents are officially available. These linguistic versions are equally legally valid.,O,new term overall,,24,12
++,BT-737,    Documents Unofficial Language,Code,Yes,"The language(s) in which the procurement documents (or their parts) are unofficially available. These linguistic versions are not an official translation, they are provided only for information.",O,new term overall,,23,12
++,BT-737,    Documents Unofficial Language,Code,Yes,"The language(s) in which the procurement documents (or their parts) are unofficially available. These linguistic versions are not an official translation, they are provided only for information.",O,new term overall,,24,12
++,BT-14,    Documents Restricted,Indicator,No,The access to certain procurement documents is restricted.,M,I.3.2,Access to the procurement documents is restricted. Further information can be obtained at (URL),23,12
++,BT-14,    Documents Restricted,Indicator,No,The access to certain procurement documents is restricted.,M,I.3.2,Access to the procurement documents is restricted. Further information can be obtained at (URL),24,12
++,BT-707,    Documents Restricted Justification,Code,No,The justification for restricting access to certain procurement documents.,O,new term overall,,23,12
++,BT-707,    Documents Restricted Justification,Code,No,The justification for restricting access to certain procurement documents.,O,new term overall,,24,12
++,BT-615,    Documents Restricted URL,URL,No,The internet address with information on accessing the restricted (part of the) procurement documents.,CM,new term,,23,12
++,BT-615,    Documents Restricted URL,URL,No,The internet address with information on accessing the restricted (part of the) procurement documents.,CM,new term,,24,12
++,BT-13,    Additional Information Deadline,Date,No,The time limit for requesting additional information about the procurement procedure.,O,new term,,23,12
++,BT-13,    Additional Information Deadline,Date,No,The time limit for requesting additional information about the procurement procedure.,O,new term,,24,12
+,BG-102,Submission Terms,-,Yes,"Information about submission terms of the tender, request to participate, or expression of interest. This information may differ per lot.",M,---,,23,12
+,BG-102,Submission Terms,-,Yes,"Information about submission terms of the tender, request to participate, or expression of interest. This information may differ per lot.",M,---,,24,12
++,BT-13719,    Submission Lot Identifier,Identifier,Yes,An identifier of one or more lots. The information in the submission terms section refers to this lot or these lots.,CM,new term,,23,12
++,BT-13719,    Submission Lot Identifier,Identifier,Yes,An identifier of one or more lots. The information in the submission terms section refers to this lot or these lots.,CM,new term,,24,12
++,BT-17,    Submission Electronic,Code,No,"Whether economic operators are required, allowed or not allowed to submit tenders, requests to participate, or expressions of interest electronically.",M,I.3.4.1,electronically via: (URL),23,12
++,BT-17,    Submission Electronic,Code,No,"Whether economic operators are required, allowed or not allowed to submit tenders, requests to participate, or expressions of interest electronically.",M,I.3.4.1,electronically via: (URL),24,12
++,BT-19,    Submission Nonelectronic Justification,Code,No,"The justification for electronic submission of tenders, requests to participate, or expressions of interest not being possible.",O,new term overall,,23,12
++,BT-19,    Submission Nonelectronic Justification,Code,No,"The justification for electronic submission of tenders, requests to participate, or expressions of interest not being possible.",O,new term overall,,24,12
++,BT-745,    Submission Nonelectronic Description,Text,No,"The description of how to submit tenders, requests to participate, or expressions of interest non-electronically.",O,new term overall,,23,12
++,BT-745,    Submission Nonelectronic Description,Text,No,"The description of how to submit tenders, requests to participate, or expressions of interest non-electronically.",O,new term overall,,24,12
++,BT-18,    Submission URL,URL,No,"The internet address for submission of tenders, requests to participate, or expressions of interest by electronic means. The address should be as direct as possible (ideally a dedicated address for the electronic submission, not just a general website).",O,I.3.4.1.1,To the abovementioned address,23,12
++,BT-18,    Submission URL,URL,No,"The internet address for submission of tenders, requests to participate, or expressions of interest by electronic means. The address should be as direct as possible (ideally a dedicated address for the electronic submission, not just a general website).",O,I.3.4.1.1,To the abovementioned address,24,12
++,BT-97,    Submission Language,Code,Yes,"A language in which tenders, requests to participate, or expressions of interest may be submitted.",O,IV.2.4,Languages in which tenders or requests to participate may be submitted,23,12
++,BT-97,    Submission Language,Code,Yes,"A language in which tenders, requests to participate, or expressions of interest may be submitted.",O,IV.2.4,Languages in which tenders or requests to participate may be submitted,24,12
++,BT-744,    Submission Electronic Signature,Indicator,No,Advanced or qualified electronic signature or seal (as defined in Regulation (EU) No 910/2014) is required.,O,new term overall,,23,12
++,BT-744,    Submission Electronic Signature,Indicator,No,Advanced or qualified electronic signature or seal (as defined in Regulation (EU) No 910/2014) is required.,O,new term overall,,24,12
++,BT-63,    Variants,Code,No,"Whether tenderers are required, allowed or not allowed to submit tenders which fulfil the buyer's needs differently than as proposed in the procurement documents. Further conditions for submitting variant tenders are in the procurement documents.",O,new term,,23,12
++,BT-63,    Variants,Code,No,"Whether tenderers are required, allowed or not allowed to submit tenders which fulfil the buyer's needs differently than as proposed in the procurement documents. Further conditions for submitting variant tenders are in the procurement documents.",O,new term,,24,12
++,BT-769,    Multiple Tenders,Indicator,No,Tenderers may submit more than one tender (for a given lot).,O,new term overall,,23,12
++,BT-769,    Multiple Tenders,Indicator,No,Tenderers may submit more than one tender (for a given lot).,O,new term overall,,24,12
++,BT-1311,    Deadline Receipt Requests,Date,No,The time limit for receipt of requests to participate.,CM,IV.2.2,Time limit for receipt of tenders or requests to participat,23,12
++,BT-1311,    Deadline Receipt Requests,Date,No,The time limit for receipt of requests to participate.,CM,IV.2.2,Time limit for receipt of tenders or requests to participat,24,12
++,BT-131,    Deadline Receipt Tenders,Date,No,The time limit for receipt of tenders.,CM,IV.2.2,Time limit for receipt of tenders or requests to participat,23,12
++,BT-131,    Deadline Receipt Tenders,Date,No,The time limit for receipt of tenders.,CM,IV.2.2,Time limit for receipt of tenders or requests to participat,24,12
++,BT-771,    Late Tenderer Information,Code,No,Whether tenderer-related information can be supplemented even after the submission deadline.,O,new term overall,,23,12
++,BT-771,    Late Tenderer Information,Code,No,Whether tenderer-related information can be supplemented even after the submission deadline.,O,new term overall,,24,12
++,BT-772,    Late Tenderer Information Description,Text,No,Description of the tenderer-related information that can be supplemented even after the submission deadline.,O,new term overall,,23,12
++,BT-772,    Late Tenderer Information Description,Text,No,Description of the tenderer-related information that can be supplemented even after the submission deadline.,O,new term overall,,24,12
+,BG-713,Strategic Procurement,-,Yes,Information about strategic procurement. This information may differ per section of the notice.,O,---,,23,12
+,BG-713,Strategic Procurement,-,Yes,Information about strategic procurement. This information may differ per section of the notice.,O,---,,24,12
++,BT-13721,    Strategic Procurement Notice Section Identifier,Identifier,Yes,An identifier of one or more sections within this notice. The information in the strategic procurement section refers to this section or these sections.,CM,new term overall,,23,12
++,BT-13721,    Strategic Procurement Notice Section Identifier,Identifier,Yes,An identifier of one or more sections within this notice. The information in the strategic procurement section refers to this section or these sections.,CM,new term overall,,24,12
++,BT-06,    Strategic Procurement,Code,Yes,"Use of a technical specification, selection criterion, award criterion, or contract performance condition aims to reduce the environmental impacts of the procurement, fulfil social objectives and/or buy an innovative work, supply or service.",O,new term overall,,23,12
++,BT-06,    Strategic Procurement,Code,Yes,"Use of a technical specification, selection criterion, award criterion, or contract performance condition aims to reduce the environmental impacts of the procurement, fulfil social objectives and/or buy an innovative work, supply or service.",O,new term overall,,24,12
++,BT-777,    Strategic Procurement Description,Text,Yes,"Description of the use of a technical specification, selection criterion, award criterion, or contract performance condition aims to reduce the environmental impacts of the procurement, fulfil social objectives and/or buy an innovative work, supply or service.",O,new term overall,,23,12
++,BT-777,    Strategic Procurement Description,Text,Yes,"Description of the use of a technical specification, selection criterion, award criterion, or contract performance condition aims to reduce the environmental impacts of the procurement, fulfil social objectives and/or buy an innovative work, supply or service.",O,new term overall,,24,12
++,BT-774,    Green Procurement,Code,Yes,"An approach to reducing the environmental impacts of the work, supply or service (e.g. requesting compliance with an environmental label).",O,new term overall,,23,12
++,BT-774,    Green Procurement,Code,Yes,"An approach to reducing the environmental impacts of the work, supply or service (e.g. requesting compliance with an environmental label).",O,new term overall,,24,12
++,BT-775,    Social Procurement,Code,Yes,"A social objective promoted by the works, supplies or services (e.g. fair working conditions).",O,new term overall,,23,12
++,BT-775,    Social Procurement,Code,Yes,"A social objective promoted by the works, supplies or services (e.g. fair working conditions).",O,new term overall,,24,12
++,BT-776,    Innovative Procurement,Code,Yes,"An indication that innovative works, supplies or services are being bought (e.g. the procured works, supplies or services being novel for the whole market).",O,new term overall,,23,12
++,BT-776,    Innovative Procurement,Code,Yes,"An indication that innovative works, supplies or services are being bought (e.g. the procured works, supplies or services being novel for the whole market).",O,new term overall,,24,12
++,BT-754,    Accessibility,Code,Yes,The use of accessibility criteria for persons with disabilities in the technical specifications.,O,new term overall,,23,12
++,BT-754,    Accessibility,Code,Yes,The use of accessibility criteria for persons with disabilities in the technical specifications.,O,new term overall,,24,12
++,BT-755,    Accessibility Justification,Text,No,The justification for not including accessibility criteria even though the procurement is intended for use by natural persons.,O,new term overall,,23,12
++,BT-755,    Accessibility Justification,Text,No,The justification for not including accessibility criteria even though the procurement is intended for use by natural persons.,O,new term overall,,24,12
+,BG-710,Additional Information,-,Yes,"Any information not mentioned elsewhere. This information may differ per lot. In case of a prior information notice used only for information, this information may differ per part of the notice that may later become a lot or a self-standing procedure.",O,---,,23,12
+,BG-710,Additional Information,-,Yes,"Any information not mentioned elsewhere. This information may differ per lot. In case of a prior information notice used only for information, this information may differ per part of the notice that may later become a lot or a self-standing procedure.",O,---,,24,12
++,BT-13715,    Additional Information Lot Identifier,Identifier,Yes,"An identifier of one or more lots. In case of PINs used only for information, the identifier of one or more parts of the notice that may later become lots or a self-standing procedures. The information in the additional information section refer this lot (or part) or these lots (or parts).",CM,new term,,23,12
++,BT-13715,    Additional Information Lot Identifier,Identifier,Yes,"An identifier of one or more lots. In case of PINs used only for information, the identifier of one or more parts of the notice that may later become lots or a self-standing procedures. The information in the additional information section refer this lot (or part) or these lots (or parts).",CM,new term,,24,12
++,BT-634,    Procurement Relaunch,Indicator,No,This cancelled or unsuccessful procedure or lot will be relaunched.,O,new term overall,,23,12
++,BT-634,    Procurement Relaunch,Indicator,No,This cancelled or unsuccessful procedure or lot will be relaunched.,O,new term overall,,24,12
++,BT-300,    Additional Information,Text,No,Any information not mentioned elsewhere.,O,VI.3,Additional information,23,12
++,BT-300,    Additional Information,Text,No,Any information not mentioned elsewhere.,O,VI.3,Additional information,24,12
+,BG-1,Notice,-,No,Basic information about the notice.,M,---,,36,13
+,BG-1,Notice,-,No,Basic information about the notice.,M,---,,37,13
++,BT-04,    Procedure Identifier,Identifier,No,"The European Public Procurement Procedure Identifier, a unique identifier of a procurement procedure. Including this identifier in all published versions of this notice (e.g. published on TED, national publication portals, regional publication portals) allows unique identification of procurement procedures around the EU.",M,new term overall,,36,13
++,BT-04,    Procedure Identifier,Identifier,No,"The European Public Procurement Procedure Identifier, a unique identifier of a procurement procedure. Including this identifier in all published versions of this notice (e.g. published on TED, national publication portals, regional publication portals) allows unique identification of procurement procedures around the EU.",M,new term overall,,37,13
++,BT-701,    Notice Identifier,Identifier,No,"The European Public Procurement Notice Identifier of this notice. Including this identifier in all published version of this notice (e.g. TED, national publication portals, regional publication portals) allows unique identification of procurement notices around the EU.",M,new term overall,,36,13
++,BT-701,    Notice Identifier,Identifier,No,"The European Public Procurement Notice Identifier of this notice. Including this identifier in all published version of this notice (e.g. TED, national publication portals, regional publication portals) allows unique identification of procurement notices around the EU.",M,new term overall,,37,13
++,BT-757,    Notice Version,Identifier,No,"The version of the notice. This helps, for example, to avoid errors caused by multiple change notices sent at a similar time.",M,new term overall,,36,13
++,BT-757,    Notice Version,Identifier,No,"The version of the notice. This helps, for example, to avoid errors caused by multiple change notices sent at a similar time.",M,new term overall,,37,13
++,BT-01,    Procedure Legal Basis,Code,No,"The legal basis (e.g. a European Directive or Regulation, national law) under which the procurement procedure takes place.",M,new term overall,,36,13
++,BT-01,    Procedure Legal Basis,Code,No,"The legal basis (e.g. a European Directive or Regulation, national law) under which the procurement procedure takes place.",M,new term overall,,37,13
++,BT-03,    Form Type,Code,No,The type of form according to procurement legislation.,M,new term overall,,36,13
++,BT-03,    Form Type,Code,No,The type of form according to procurement legislation.,M,new term overall,,37,13
++,BT-02,    Notice Type,Code,No,The type of notice according to procurement legislation.,M,new term overall,,36,13
++,BT-02,    Notice Type,Code,No,The type of notice according to procurement legislation.,M,new term overall,,37,13
++,BT-05,    Notice Dispatch Date,Date,No,The date and time when the notice has been sent to TED.,M,VI.5,Date of dispatch of this notice: (dd/mm/yyyy),36,13
++,BT-05,    Notice Dispatch Date,Date,No,The date and time when the notice has been sent to TED.,M,VI.5,Date of dispatch of this notice: (dd/mm/yyyy),37,13
++,BT-738,    Notice Publication Date Preferred,Date,No,The preferred date of publication of the notice on TED (e.g. to avoid publication during a national holiday). ,O,new term overall,,36,13
++,BT-738,    Notice Publication Date Preferred,Date,No,The preferred date of publication of the notice on TED (e.g. to avoid publication during a national holiday). ,O,new term overall,,37,13
++,BT-702,    Notice Official Language,Code,Yes,The language(s) in which this notice is officially available. These linguistic versions are equally legally valid.,M,new term overall,,36,13
++,BT-702,    Notice Official Language,Code,Yes,The language(s) in which this notice is officially available. These linguistic versions are equally legally valid.,M,new term overall,,37,13
+,BG-125,Previous Planning,-,Yes,"Information about a prior information notice or another similar notice related to this notice. This information may differ per lot. In case of a prior information notice used only for information, this information may differ per part of the notice that may later become a lot or a self-standing procedure.",EM,---,,36,13
+,BG-125,Previous Planning,-,Yes,"Information about a prior information notice or another similar notice related to this notice. This information may differ per lot. In case of a prior information notice used only for information, this information may differ per part of the notice that may later become a lot or a self-standing procedure.",EM,---,,37,13
++,BT-1371,    Previous Planning Lot Identifier,Identifier,Yes,"An identifier of one or more lots. In case of a prior information notice used only for information, the identifier of a part of the notice that may later become a lot or a self-standing procedure. The information in the previous planning section refers to this lot (or part) or these lots (or parts).",CM,new term overall,,36,13
++,BT-1371,    Previous Planning Lot Identifier,Identifier,Yes,"An identifier of one or more lots. In case of a prior information notice used only for information, the identifier of a part of the notice that may later become a lot or a self-standing procedure. The information in the previous planning section refers to this lot (or part) or these lots (or parts).",CM,new term overall,,37,13
++,BT-125,    Previous Planning Identifier,Identifier,No,The identifier of a prior information notice or another similar notice related to this notice.,EM,IV.2.1.1,Notice number in the OJ S,36,13
++,BT-125,    Previous Planning Identifier,Identifier,No,The identifier of a prior information notice or another similar notice related to this notice.,EM,IV.2.1.1,Notice number in the OJ S,37,13
++,BT-1251,    Previous Planning Part Identifier,Identifier,Yes,The identifier of a part of a prior information notice or another similar notice related to this notice.,CM,new term overall,,36,13
++,BT-1251,    Previous Planning Part Identifier,Identifier,Yes,The identifier of a part of a prior information notice or another similar notice related to this notice.,CM,new term overall,,37,13
+,BG-703,Organisation,-,Yes,"Information about the organisation. This information may differ per lot, per contract, per tender, etc. In case of a prior information notice used only for information, this information may differ per part of the notice that may later become a lot or a self-standing procedure.",M,---,,36,13
+,BG-703,Organisation,-,Yes,"Information about the organisation. This information may differ per lot, per contract, per tender, etc. In case of a prior information notice used only for information, this information may differ per part of the notice that may later become a lot or a self-standing procedure.",M,---,,37,13
++,BT-13720,    Organisation Notice Section Identifier,Identifier,Yes,An identifier of one or more sections within this notice. The information in the organisation section refers to this section or these sections.,CM,new term overall,,36,13
++,BT-13720,    Organisation Notice Section Identifier,Identifier,Yes,An identifier of one or more sections within this notice. The information in the organisation section refers to this section or these sections.,CM,new term overall,,37,13
++,BT-500,    Organisation Name,Text,No,The official name of the organisation.,CM,I.1.1,Official name ,36,13
++,BT-500,    Organisation Name,Text,No,The official name of the organisation.,CM,I.1.1,Official name ,37,13
++,BT-501,    Organisation Identifier,Identifier,Yes,An identifier of the organisation. All of the organisation's identifiers shall be given.,CM,I.1.2,National registration number ,36,13
++,BT-501,    Organisation Identifier,Identifier,Yes,An identifier of the organisation. All of the organisation's identifiers shall be given.,CM,I.1.2,National registration number ,37,13
++,BT-16,    Organisation Part Name,Text,No,The name of a part of an organisation (e.g. the relevant department of a large buyer).,O,new term overall,,36,13
++,BT-16,    Organisation Part Name,Text,No,The name of a part of an organisation (e.g. the relevant department of a large buyer).,O,new term overall,,37,13
++,BT-510,    Organisation Street,Text,No,"The name of the street, road, avenue, etc., of the organisation's physical address and further identification (e.g. building number).",EM,I.1.3,Postal address,36,13
++,BT-510,    Organisation Street,Text,No,"The name of the street, road, avenue, etc., of the organisation's physical address and further identification (e.g. building number).",EM,I.1.3,Postal address,37,13
++,BT-513,    Organisation City,Text,No,"The name of the locality (city, town or village) of the organisation's physical address.",CM,I.1.4,Town,36,13
++,BT-513,    Organisation City,Text,No,"The name of the locality (city, town or village) of the organisation's physical address.",CM,I.1.4,Town,37,13
++,BT-512,    Organisation Post Code,Text,No,The post code of the organisation's physical address.,CM,I.1.6,Postal code ,36,13
++,BT-512,    Organisation Post Code,Text,No,The post code of the organisation's physical address.,CM,I.1.6,Postal code ,37,13
++,BT-507,    Organisation Country Subdivision,Code,No,The location according to the common classification of territorial units for statistics (NUTS) of the organisation's physical address. The NUTS3 classification code must be used.,CM,I.1.5,NUTS code,36,13
++,BT-507,    Organisation Country Subdivision,Code,No,The location according to the common classification of territorial units for statistics (NUTS) of the organisation's physical address. The NUTS3 classification code must be used.,CM,I.1.5,NUTS code,37,13
++,BT-514,    Organisation Country Code,Code,No,The country of the organisation's physical address.,CM,I.1.7,Country,36,13
++,BT-514,    Organisation Country Code,Code,No,The country of the organisation's physical address.,CM,I.1.7,Country,37,13
++,BT-502,    Organisation Contact Point,Text,No,"The name of the department or other contact point for communicating with the organisation. To avoid unnecessary processing of personal data, the contact point may allow the identification of a physical person only when necessary (in the sense of Regulation (EU) 2016/679 and Regulation (EU) 2018/1725).",O,I.1.8,Contact person,36,13
++,BT-502,    Organisation Contact Point,Text,No,"The name of the department or other contact point for communicating with the organisation. To avoid unnecessary processing of personal data, the contact point may allow the identification of a physical person only when necessary (in the sense of Regulation (EU) 2016/679 and Regulation (EU) 2018/1725).",O,I.1.8,Contact person,37,13
++,BT-506,    Organisation Contact Email Address,Text,No,"The email for contacting the organisation. To avoid unnecessary processing of personal data, the email may allow the identification of a physical person only when necessary (in the sense of the General Data Protection Regulation).",CM,I.1.10,E-mail,36,13
++,BT-506,    Organisation Contact Email Address,Text,No,"The email for contacting the organisation. To avoid unnecessary processing of personal data, the email may allow the identification of a physical person only when necessary (in the sense of the General Data Protection Regulation).",CM,I.1.10,E-mail,37,13
++,BT-503,    Organisation Contact Telephone Number,Text,No,"The telephone for contacting the organisation. To avoid unnecessary processing of personal data, the telephone may allow the identification of a physical person only when necessary (in the sense of the General Data Protection Regulation).",EM,I.1.9,Telephone,36,13
++,BT-503,    Organisation Contact Telephone Number,Text,No,"The telephone for contacting the organisation. To avoid unnecessary processing of personal data, the telephone may allow the identification of a physical person only when necessary (in the sense of the General Data Protection Regulation).",EM,I.1.9,Telephone,37,13
++,BT-739,    Organisation Contact Fax,Text,No,"The fax for contacting the organisation. To avoid unnecessary processing of personal data, the fax may allow the identification of a physical person only when necessary (in the sense of the General Data Protection Regulation).",EM,I.1.11,Fax,36,13
++,BT-739,    Organisation Contact Fax,Text,No,"The fax for contacting the organisation. To avoid unnecessary processing of personal data, the fax may allow the identification of a physical person only when necessary (in the sense of the General Data Protection Regulation).",EM,I.1.11,Fax,37,13
++,BT-505,    Organisation Internet Address,URL,No,The website of the organisation.,EM,VI.4.1.8,Internet Addresses (URL),36,13
++,BT-505,    Organisation Internet Address,URL,No,The website of the organisation.,EM,VI.4.1.8,Internet Addresses (URL),37,13
++,BT-509,    Organisation eDelivery Gateway,URL,No,The organisation's uniform resource locator for exchange of data and documents.,O,new term overall,,36,13
++,BT-509,    Organisation eDelivery Gateway,URL,No,The organisation's uniform resource locator for exchange of data and documents.,O,new term overall,,37,13
++,BT-633,    Organisation Natural Person,Indicator,No,The organisation is a natural person.,O,new term overall,,36,13
++,BT-633,    Organisation Natural Person,Indicator,No,The organisation is a natural person.,O,new term overall,,37,13
++,BT-08,    Organisation Role,Code,No,"The role of the organisation in the procurement procedure (e.g. buyer, winner). A notice must contain all organisations in the procedure that have the role of a buyer; a winner; a review body; a buyer acquiring supplies and/or services intended for other buyers; a buyer awarding public contracts or concluding framework agreements for works, supplies or services intended for other buyers.",M,new term overall,,36,13
++,BT-08,    Organisation Role,Code,No,"The role of the organisation in the procurement procedure (e.g. buyer, winner). A notice must contain all organisations in the procedure that have the role of a buyer; a winner; a review body; a buyer acquiring supplies and/or services intended for other buyers; a buyer awarding public contracts or concluding framework agreements for works, supplies or services intended for other buyers.",M,new term overall,,37,13
++,BT-770,    Organisation Subrole,Code,Yes,"The sub-role of the organisation in the procurement procedure (e.g. group leader, organisation providing additional information about the procurement procedure).",O,new term overall,,36,13
++,BT-770,    Organisation Subrole,Code,Yes,"The sub-role of the organisation in the procurement procedure (e.g. group leader, organisation providing additional information about the procurement procedure).",O,new term overall,,37,13
++,BG-3,    Buyer,-,No,Additional information about the buyer.,CM,---,,36,13
++,BG-3,    Buyer,-,No,Additional information about the buyer.,CM,---,,37,13
+++,BT-508,        Buyer Profile URL,URL,No,"The website where the buyer publishes information regarding procurement procedures (e.g. notices, procurement documents).",O,new term,,36,13
+++,BT-508,        Buyer Profile URL,URL,No,"The website where the buyer publishes information regarding procurement procedures (e.g. notices, procurement documents).",O,new term,,37,13
+++,BT-11,        Buyer Legal Type,Code,No,"The type of buyer according to procurement legislation (e.g. central government authority, body governed by public law, public undertaking).",O,I.4,Type of the contracting authority (in the case of a notice published by a contracting authority),36,13
+++,BT-11,        Buyer Legal Type,Code,No,"The type of buyer according to procurement legislation (e.g. central government authority, body governed by public law, public undertaking).",O,I.4,Type of the contracting authority (in the case of a notice published by a contracting authority),37,13
+++,BT-10,        Activity Authority,Code,No,The main activity of the contracting authority.,CM,I.5,Main activity (in the case of a notice published by a contracting authority),36,13
+++,BT-10,        Activity Authority,Code,No,The main activity of the contracting authority.,CM,I.5,Main activity (in the case of a notice published by a contracting authority),37,13
+++,BT-10,        Activity Authority,Code,No,The main activity of the contracting authority.,CM,I.6,Main activity (in the case of a notice published by a contracting entity),36,13
+++,BT-10,        Activity Authority,Code,No,The main activity of the contracting authority.,CM,I.6,Main activity (in the case of a notice published by a contracting entity),37,13
+++,BT-610,        Activity Entity,Code,No,The main activity of the contracting entity.,M,new term overall,,36,13
+++,BT-610,        Activity Entity,Code,No,The main activity of the contracting entity.,M,new term overall,,37,13
++,BG-4,    Winner,-,No,"Additional information about the winner, tenderer or subcontractor.",CM,---,,36,13
++,BG-4,    Winner,-,No,"Additional information about the winner, tenderer or subcontractor.",CM,---,,37,13
+++,BT-165,        Winner Size,Code,No,"The size of the winner, tenderer or subcontractor (e.g. micro enterprise, small enterprise, medium enterprise).",M,V.2.3.12,The winner is an SME  ,36,13
+++,BT-165,        Winner Size,Code,No,"The size of the winner, tenderer or subcontractor (e.g. micro enterprise, small enterprise, medium enterprise).",M,V.2.3.12,The winner is an SME  ,37,13
+++,BT-706,        Winner Owner Nationality,Code,Yes,"The nationality (or nationalities) of the beneficiary owner(s) of the winner, tenderer, or subcontractor; as published in the register(s) established by anti-money laundering legislation. If such a register does not exist (e.g. in case of non-EU contractors) then equivalent information from other sources.",O,new term overall,,36,13
+++,BT-706,        Winner Owner Nationality,Code,Yes,"The nationality (or nationalities) of the beneficiary owner(s) of the winner, tenderer, or subcontractor; as published in the register(s) established by anti-money laundering legislation. If such a register does not exist (e.g. in case of non-EU contractors) then equivalent information from other sources.",O,new term overall,,37,13
+++,BT-746,        Winner Listed,Indicator,No,"The nationality (or nationalities) of the beneficiary owner(s) of the winner, tenderer, or subcontractor is not published in the register(s) established by anti-money laundering legislation, because the winner is listed on a regulated market (e.g. a stock exchange) that ensures adequate transparency in line with anti-money laundering legislation.",O,new term overall,,36,13
+++,BT-746,        Winner Listed,Indicator,No,"The nationality (or nationalities) of the beneficiary owner(s) of the winner, tenderer, or subcontractor is not published in the register(s) established by anti-money laundering legislation, because the winner is listed on a regulated market (e.g. a stock exchange) that ensures adequate transparency in line with anti-money laundering legislation.",O,new term overall,,37,13
++,BG-715,    Review Body,-,No,Additional information about the review body.,,---,,36,13
++,BG-715,    Review Body,-,No,Additional information about the review body.,,---,,37,13
+,BG-2,Purpose,-,Yes,"Information about the purpose. This information must be given for the whole procurement procedure and, if they exist, also per lot. In case of a prior information notice used only for information, this information may differ per part of the notice that may later become a lot or a self-standing procedure.",M,---,,36,13
+,BG-2,Purpose,-,Yes,"Information about the purpose. This information must be given for the whole procurement procedure and, if they exist, also per lot. In case of a prior information notice used only for information, this information may differ per part of the notice that may later become a lot or a self-standing procedure.",M,---,,37,13
