Label,Set,Comment,EN,FR,DE,BG,CS,DA,EL,ES,ET,FI,GA,HR,HU,IT,LT,LV,MT,NL,PL,PT,RO,SK,SL,SV,bb,cc,dd
H_award_total_only,,,"Please give the total value of the procurement. For information about individual contracts, please use section V","Indiquer la valeur totale du marché. Pour fournir des informations sur les différents marchés, compléter la section V",Bitte den Gesamtbeschaffungswert angeben; Angaben zu einzelnen Aufträgen machen Sie bitte in Abschnitt V,"Моля, посочете общата стойност на обществената поръчка. За информация относно индивидуални поръчки, моля, използвайте раздел V",Uveďte celkovou hodnotu veřejné zakázky. Informace o jednotlivých zakázkách uveďte v oddíle V,Anfør den endelige samlede værdi af kontrakten. Oplysninger om enkeltkontrakter anføres i del V,"Παρακαλείστε να αναφέρετε τη συνολική αξία της σύμβασης. Για πληροφορίες σχετικά με επιμέρους συμβάσεις, συμπληρώστε το τμήμα V.","Indíquese el valor total de la contratación. Para facilitar información acerca de contratos específicos, cumpliméntese el apartado V",Esitada hanke lõplik kogumaksumus. Üksiklepinguid käsitleva teabe jaoks kasutada V osa,Antakaa hankinnan kokonaisarvo. Yksittäisiä sopimuksia koskevat tiedot annetaan V kohdassa,"Tabhair luach iomlán an tsoláthair. Le haghaidh faisnéis faoi chonarthaí aonair, bain úsáid as alt V",Molimo unesite konačnu ukupnu vrijednost nabave. Podatke o pojedinim ugovorima unesite u odjeljak V,"Kérjük, jelezze a beszerzés végleges összértékét. Az egyes szerződésekkel kapcsolatos tájékoztatás céljából kérjük, töltse ki az V. szakaszt",Indicare il valore totale finale dell'appalto. Per informazioni sui singoli appalti utilizzare la sezione V,Nurodykite bendrą viešojo pirkimo vertę. Informacija apie atskiras sutartis pateikta V dalyje,Norādīt iepirkuma kopējo vērtību. Informācijai par atsevišķiem līgumiem izmantot V iedaļu,"Jekk jogħġbok agħti l-valur totali tal-ksib. Għal informazzjoni dwar kuntratti individwali, jekk jogħġbok uża t-taqsima V",Gelieve de totale waarde van de aanbesteding aan te geven. Vul voor inlichtingen over afzonderlijke opdrachten afdeling V in,Proszę podać całkowitą wartość zamówienia. Informacje na temat poszczególnych zamówień proszę podać w sekcji V,"Indicar o valor total do concurso. Para informações relativas a contratos individuais, utilizar a secção V","A se indica valoarea totală a achiziţiei. Pentru informaţii despre contractele individuale, a se utiliza secţiunea V",Uveďte celkovú hodnotu obstarávania. Informácie o jednotlivých zákazkách uveďte v oddiele V,Navedite skupno vrednost javnega naročila. Za informacije o posameznih javnih naročilih uporabite oddelek V,Ange upphandlingens totala värde. För information om enskilda kontrakt används avsnitt V,,,
H_comp_authority_identify_all,MOVE,,please identify all competent authorities responsible for this procedure,veuillez identifier l’ensemble des autorités compétentes responsables de cette procédure,Bitte geben Sie alle für dieses Verfahren zuständigen Behörden an,"Моля, посочете всички компетентни органи, отговарящи за тази процедура",uveďte všechny příslušné orgány odpovědné za toto řízení,"angiv venligst alle kompetente myndigheder, der er ansvarlige for denne procedure",προσδιορίστε όλες τις αρμόδιες αρχές που είναι υπεύθυνες για αυτή τη διαδικασία,Mencione todas las autoridades competentes responsables de este procedimiento,märkige kõik kõnealuse menetluse eest vastutavad pädevad asutused,ilmoita kaikki tämän hankintamenettelyn toimivaltaiset viranomaiset,sainaithin gach údarás inniúil a bhíonn freagrach as an nós imeachta seo,molimo da utvrdite sva nadležna tijela zadužena za ovaj postupak,Kérjük a jelen eljárásért felelős valamennyi illetékes hatóság feltüntetését,si prega di identificare tutte le autorità competenti responsabili della presente procedura,nurodykite visas už šią procedūrą atsakingas kompetentingas valdžios institucijas,lūdzam norādīt visas par šo procedūru atbildīgās kompetentās iestādes,jekk jogħġbok identifika l-awtoritajiet kompetenti kollha responsabbli għal din il-proċedura,gelieve alle bevoegde autoriteiten die verantwoordelijk zijn voor onderhavige procedure te identificeren,proszę wskazać wszystkie właściwe organy odpowiedzialne za niniejszą procedurę,identifique todas as autoridades competentes responsáveis por este procedimento,vă rugăm să identificați toate autoritățile competente responsabile de această procedură,uveďte všetky príslušné orgány zodpovedné za tento postup,"Navedite vse pristojne organe, odgovorne za ta postopek",identifiera alla behöriga myndigheter som ansvarar för detta förfarande,,,
H_complete_d_p2,,,please complete point 2 of the Annex D,compléter la partie 2 de l'annexe D,Punkt 2 von Anhang D ausfüllen,"моля, попълнете точка 2 от приложение Г",vyplňte bod 2 přílohy D,Udfyld del 2 i bilag D,παρακαλείστε να συμπληρώστε το σημείο 2 του παραρτήματος Δ,cumpliméntese la parte 2 del anexo D,palun täita D lisa 2. punkt,täyttäkää liitteen D osa 2,comhlíon pointe 2 d'Iarscríbhinn D,molimo popuniti točku 2. iz Priloga D,töltse ki a D melléklet 2. pontját,completare la parte 2 dell'allegato D,užpildykite D priedo 2 dalį,aizpildīt D pielikuma 2. daļu,jekk jogħġbok imla t-2 punt tal-Anness D,gelieve deel 2 van bijlage D in te vullen,proszę wypełnić pkt 2 załącznika D,preencher o ponto 2 do anexo D,a se completa punctul 2 din anexa D,vyplňte bod 2 v prílohe D,izpolnite točko 2 Priloge D,fyll i punkt 2 i bilaga D,,,
H_complete_d1,,,please complete Annex D1,compléter l'annexe D1,bitte Anhang D1 ausfüllen,"моля, попълнете приложение Г1",vyplňte prosím přílohu D1,udfyld bilag D1,παρακαλείστε να συμπληρώσετε το παράρτημα Δ1,cumpliméntese el anexo D1,palun täita D1 lisa,täyttäkää liite D1,comhlíon Iarscríbhinn D1 le do thoil,molimo popuniti Prilog D1,töltse ki a D1. mellékletet,completare l’allegato D1,užpildykite D1 priedą,aizpildīt D1. pielikumu,jekk jogħġbok imla l-Anness D1,vul bijlage D1 in,proszę wypełnić załącznik D1,preencher o anexo D1,completați anexa D1,vyplňte prílohu D1,izpolnite Prilogo D1,fyll i uppgifterna i bilaga D1,,,
H_complete_d123,,,please complete Annex D,compléter l'annexe D,bitte Anhang D ausfüllen,"моля, попълнете приложение Г",vyplňte prosím přílohu D,udfyld bilag D,παρακαλείστε να συμπληρώσετε το παράρτημα Δ,cumpliméntese el anexo D,palun täita D lisa,täyttäkää liite D,comhlíon Iarscríbhinn D le do thoil,molimo popuniti Prilog D,töltse ki a D mellékletet,completare l'allegato D,užpildykite D priedą,aizpildīt D pielikumu,jekk jogħġbok imla l-Anness D,vul bijlage D in,proszę wypełnić załącznik D,preencher o anexo D,completați anexa D,vyplňte prílohu D,izpolnite Prilogo D,fyll i bilaga D,,,
H_complete_d2,,,please complete Annex D2,compléter l'annexe D2,bitte Anhang D2 ausfüllen,"моля, попълнете приложение Г2",vyplňte prosím přílohu D2,udfyld bilag D2,παρακαλείστε να συμπληρώσετε το παράρτημα Δ2,cumpliméntese el anexo D2,palun täita D2 lisa,täyttäkää liite D2,comhlíon Iarscríbhinn D2 le do thoil,molimo popuniti Prilog D2,töltse ki a D2. mellékletet,completare l'allegato D2,užpildykite D2 priedą,aizpildīt D2. pielikumu,jekk jogħġbok imla l-Anness D2,vul bijlage D2 in,proszę wypełnić załącznik D2,preencher o anexo D2,completați anexa D2,vyplňte kompletne prílohu D2,izpolnite Prilogo D2,fyll i bilaga D2,,,
H_complete_d4,,,please complete Annex D4,compléter l'annexe D4,bitte Anhang D4 ausfüllen,"моля, попълнете приложение Г4",vyplňte prosím přílohu D4,udfyld bilag D4,παρακαλείστε να συμπληρώσετε το παράρτημα Δ4,cumpliméntese el anexo D4,palun täita D4 lisa,täyttäkää liite D4,comhlíon Iarscríbhinn D4 le do thoil,molimo popuniti Prilog D4,töltse ki a D4. mellékletet,completare l'allegato D4,užpildykite D4 priedą,aizpildīt D4. pielikumu,jekk jogħġbok imla l-Anness D4,vul bijlage D4 in,proszę wypełnić załącznik D4,preencher o anexo D4,completați anexa D4,vyplňte prílohu D4,izpolnite Prilogo D4,fyll i bilaga D4,,,
H_concession_service_only,,,only for service concessions,seulement pour les concessions de services,nur für Dienstleistungskonzessionen,само за концесии за услуги,pouze pro koncese na služby,kun for koncessioner om tjenesteydelser,μόνο για συμβάσεις παραχώρησης υπηρεσιών,solo para concesiones de servicios,ainult teenuste kontsessioonide korral,vain palvelujen käyttöoikeussopimukset,le haghaidh lamháltais seirbhíse amháin,samo za koncesije za usluge,csak szolgáltatási koncesszió esetében,solo per concessioni di servizi,tik paslaugų koncesijoms,tikai pakalpojumu koncesijām,għal konċessjonijiet ta' servizz biss,enkel voor concessieovereenkomsten voor diensten,tylko dla koncesji na usługi,apenas para concessões de serviços,numai pentru concesiunile de servicii,len pre koncesie na poskytovanie služieb,samo za koncesije za storitve,endast för tjänstekoncessioner,,,
H_d_select_provide,,,please select the relevant option and provide an explanation,sélectionner l'option pertinente et fournir une explication,entsprechende Option auswählen und erläutern,"моля, изберете съответната опция и представете обяснение",zvolte příslušnou možnost a uveďte vysvětlení,vælg den relevante option og fremsæt en forklaring,παρακαλείστε να επιλέξετε τη σχετική επιλογή και να παράσχετε αιτιολόγηση,selecciónese la opción pertinente y facilítese una explicación,valige asjakohane variant ja esitage selgitus,valitkaa asiaankuuluva vaihtoehto ja antakaa selitys,roghnaigh an rogha ábhartha agus cuir míniúchán ar fáil,molimo odaberite predmetnu opciju i dostavite objašnjenje,válassza ki a vonatkozó opciót és fűzzön hozzá magyarázatot,selezionare l'opzione pertinente e fornire una spiegazione,pasirinkite atitinkamą galimybę ir pateikite paaiškinimą,izvēlēties atbilstošo iespēju un sniegt paskaidrojumu,jekk jogħġbok agħżel l-għażla rilevanti u pprovdi spjegazzjoni,gelieve de relevante optie te selecteren en een verklaring te geven,należy wybrać odpowiednią opcję i dodać wyjaśnienie,selecione a opção relevante e apresente uma explicação,selectaţi opţiunea relevantă şi prezentaţi o explicaţie,vyberte príslušnú možnosť a uveďte vysvetlenie,izberite ustrezno možnost in predložite razlago,välj relevant alternativ och ge en förklaring,,,
H_d_serv_suppl_only,,,for services and supplies only,services et fournitures uniquement,nur für Lieferungen und Dienstleistungen,само за услуги и доставки,pouze v případě služeb a dodávek,gælder kun tjenesteydelser og varer,μόνο για υπηρεσίες και προμήθειες,únicamente en el caso de los servicios y de los suministros,ainult teenuste ja asjade puhul,koskee vain palveluja ja tavarahankintoja,le haghaidh seirbhísí agus soláthairtí amháin,samo za usluge i robu,csak szolgáltatás és árubeszerzés esetén,unicamente per i servizi e le forniture,tik paslaugų ir prekių pirkimui,tikai attiecībā uz pakalpojumiem un piegādēm,għal servizzi u provvisti biss,alleen voor diensten en leveringen,wyłącznie dla usług i dostaw,apenas para os serviços e fornecimentos,numai pentru servicii și bunuri,len pre služby a dodávky tovarov,samo za storitve in blago,gäller endast tjänste- och varukontrakt,,,
H_d_supplies_only,,,for supplies only,fournitures uniquement,nur für Lieferungen,само за доставки,pouze v případě dodávek,gælder kun varer,μόνο για προμήθειες,únicamente en el caso de los suministros,ainult asjade puhul,koskee vain tavarahankintoja,le haghaidh soláthairtí amháin,samo za robu ,csak árubeszerzés esetén,unicamente per le forniture,tik prekių pirkimui,tikai attiecībā uz piegādēm,għal provvisti biss,alleen voor leveringen,wyłącznie dla dostaw,apenas para os fornecimentos,numai pentru bunuri,len dodávky tovarov,samo za blago,gäller endast varukontrakt,,,
H_ddmmyyyy,,,dd/mm/yyyy,jj/mm/aaaa,TT/MM/JJJJ,дд/мм/гггг,dd/mm/rrrr,dd/mm/åååå,ηη/μμ/εεεε,dd/mm/aaaa,pp/kk/aaaa,pp/kk/vvvv,ll/mm/bbbb,dd/mm/gggg,nn/hh/éééé,gg/mm/aaaa,dd/mm/mmmm,dd/mm/gggg,jj/xx/ssss,dd/mm/jjjj,dd/mm/rrrr,dd/mm/aaaa,zz/ll/aaaa,dd/mm/rrrr,dd/mm/llll,dd/mm/åååå,,,
H_dps_value_previous,,,for dynamic purchasing systems – value of contract(s) not included in previous contract award notices,dans le cas de systèmes d'acquisition dynamiques – la valeur du/des marché(s) n'est pas incluse dans les précédents avis d'attribution de marché,"Bei dynamischen Beschaffungssystemen – Wert des Auftrags/der Aufträge, der/die nicht in bisherigen Bekanntmachungen über die Auftragsvergabe angegeben war(en)","за динамични системи за покупки – стойност на поръчката/ите, която/които не е/са включена/и в предишни обявления за възлагане на поръчки","v případě dynamických nákupních systémů – hodnota zakázky (zakázek), která(-é) nebyla (nebyly) zahrnuta(-y) v rámci předchozích oznámení o zadání zakázky",i forbindelse med dynamiske indkøbssystemer – kontraktens/kontrakternes værdi er ikke inkluderet i tidligere bekendtgørelser om indgåede kontrakter,για δυναμικά συστήματα αγορών – αξία της (των) σύμβασης(-εων) που δεν περιλαμβάνεται σε προηγούμενες γνωστοποιήσεις ανάθεσης σύμβασης,En caso de sistemas dinámicos de adquisición – Valor del (de los) contrato(s) no incluido en anuncios de adjudicación de contrato anteriores,dünaamilistele ostusüsteemidele – varasemad lepingu sõlmimise teated ei sisalda lepingu(te) väärtust,dynaamisissa hankintajärjestelmissä – sopimuksen (sopimusten) arvo ei sisälly aiempiin sopimuksen tekemistä koskeviin ilmoituksiin,i gcás córais dhinimiciúla ceannaigh – luach an chonartha(na gconarthaí) nach n-áirítear i bhfógraí roimhe seo faoi dhámhachtain conartha ,za dinamičke sustave nabave – vrijednost ugovora nije uključena u prethodne obavijesti o dodjeli ugovora,dinamikus beszerzési rendszerek esetében – a korábbi tájékoztató hirdetményekben nem szereplő szerződés(ek) értéke,in caso di un sistema dinamico di acquisizione – valore dell'appalto non incluso nei precedenti avvisi di aggiudicazione di appalti,dinaminių pirkimo sistemų: sutarties (-čių) vertė nenurodyta ankstesniuose skelbimuose apie sutarties skyrimą,attiecībā uz dinamiskām pirkšanas sistēmām – iepriekšējos paziņojumos par līguma piešķiršanu nav ietverta līguma(-u) vērtība,għal sistemi dinamiċi tax-xiri – il-valur tal-kuntratt(i) mhux inkluż fl-avviżi tal-għoti ta' kuntratti ta' qabel,in het geval van dynamische aankoopsystemen – de waarde van de opdracht(en) die niet in eerdere aankondigingen van een gegunde opdracht was/waren opgenomen,w przypadku dynamicznego systemu zakupów – wartość zamówienia lub zamówień nieujętych w poprzednich ogłoszeniach o udzieleniu zamówienia,para sistemas de aquisição dinâmicos – valor do(s) contrato(s) não incluído em anúncios de adjudicação de contratos anteriores,în cazul sistemelor dinamice de achiziţii – valoarea contractului (contractelor) care nu a (au) fost inclus(e) în anunţurile anterioare de atribuire a contractelor,v prípade dynamického nákupného systému – hodnota zmlúv nezahrnutých do predchádzajúcich oznámení o pridelení zmluvy,za dinamične nabavne sisteme – vrednost naročila(-) ni vključena v prejšnja obvestila o oddaji naročila,för dynamiska inköpssystem – kontraktets (kontraktens) värde som inte ingår i de tidigare meddelandena om kontraktstilldelning,,,
H_dps_value_previous_lot,,,for dynamic purchasing systems – value of contract(s) for this lot not included in previous contract award notices,dans le cas de systèmes d'acquisition dynamiques – la valeur du/des marché(s) pour le présent lot n'est pas incluse dans les précédents avis d'attribution de marché,"Bei dynamischen Beschaffungssystemen – Wert des Auftrags/der Aufträge für dieses Los, der/die nicht in bisherigen Bekanntmachungen über die Auftragsvergabe angegeben war(en)","за динамични системи за покупки – стойност на поръчката/ите за тази партида, която/които не е/са включена/и в предишни обявления за възлагане на поръчки","v případě dynamických nákupních systémů – hodnota zakázky (zakázek) u této položky, která(-é) nebyla (nebyly) zahrnuta(-y) v rámci předchozích oznámení o zadání zakázky",i forbindelse med dynamiske indkøbssystemer – kontraktens/kontrakternes værdi i forbindelse med dette parti er ikke inkluderet i tidligere bekendtgørelser om indgåede kontrakter,για δυναμικά συστήματα αγορών – αξία της (των) σύμβασης(-εων) για το εν λόγω τμήμα που δεν περιλαμβάνεται σε προηγούμενες γνωστοποιήσεις ανάθεσης σύμβασης,En caso de sistemas dinámicos de adquisición – Valor del (de los) contrato(s) para este lote no incluido en anuncios de adjudicación de contrato anteriores,dünaamilistele ostusüsteemidele – varasemad lepingu sõlmimise teated ei sisalda selle osa lepingu(te) väärtust,dynaamisissa hankintajärjestelmissä – tämän osan sopimuksen (sopimusten) arvo ei sisälly aiempiin sopimuksen tekemistä koskeviin ilmoituksiin,i gcás córais dhinimiciúla ceannaigh – luach an chonartha(na gconarthaí) maidir leis an mbeart seo nach n-áirítear i bhfógraí roimhe seo faoi dhámhachtain conartha ,za dinamičke sustave nabave – vrijednost ugovora za ovu grupu nije uključena u prethodne obavijesti o dodjeli ugovora,"dinamikus beszerzési rendszerek esetében – a korábbi tájékoztató hirdetményekben nem szereplő, erre a tételre vonatkozó szerződés(ek) értéke",in caso di un sistema dinamico di acquisizione – valore dell'appalto per questo lotto non incluso nei precedenti avvisi di aggiudicazione di appalti,dinaminėms pirkimo sistemoms: šios partijos sutarties (-čių) vertė nenurodyta ankstesniuose skelbimuose apie sutarties skyrimą,attiecībā uz dinamiskām pirkšanas sistēmām – iepriekšējos paziņojumos par līguma piešķiršanu nav ietverta līguma(-u) vērtība par šo daļu,għal sistemi dinamiċi tax-xiri – il-valur tal-kuntratt(i) għal dan il-lott mhux inkluż fl-avviżi tal-għoti ta' kuntratti ta' qabel,"in het geval van dynamische aankoopsystemen – de waarde van de opdracht(en) voor dit perceel, die niet in eerdere aankondigingen van een gegunde opdracht was/waren opgenomen",w przypadku dynamicznego systemu zakupów – wartość zamówienia lub zamówień dla tej części nieujętych w poprzednich ogłoszeniach o udzieleniu zamówienia,para sistemas de aquisição dinâmicos – valor do(s) contrato(s) para o presente lote não incluído em anúncios de adjudicação de contratos anteriores,în cazul sistemelor dinamice de achiziţii – valoarea contractului (contractelor) pentru acest lot care nu a (au) fost inclus(e) în anunţurile anterioare de atribuire a contractelor,v prípade dynamického nákupného systému – hodnota zmlúv pre túto časť nie je zahrnutá do predchádzajúcich oznámení o pridelení zmluvy,za dinamične nabavne sisteme – vrednost naročila(-) za ta sklop ni vključena v prejšnja obvestila o oddaji naročila,för dynamiska inköpssystem – kontraktets (kontraktens) värde för den här delen som inte ingår i de tidigare meddelandena om kontraktstilldelning,,,
H_exante_intro,,,"This notice aims at providing voluntary prior transparency as referred to in Article 2d(4) of Directives 89/665/EEC and 92/13/EEC on remedies, and Article 60(4) of Directive 2009/81/EC.","Le présent avis vise à assurer la transparence volontaire préalable visée à l'article 2 quinquies, paragraphe 4, des directives 89/665/CEE et 92/13/CEE concernant les recours, et à l'article 60, paragraphe 4, de la directive 2009/81/CE.","Mit dieser Bekanntmachung sollen freiwillige Vorabangaben im Sinne der Transparenz beigebracht werden, wie sie in Artikel 2d Absatz 4 der Richtlinien 89/665/EWG und 92/13/EWG über Nachprüfungsverfahren und Artikel 60 Absatz 4 der Richtlinie 2009/81/EG vorgesehen sind.","Настоящото обявление има за цел да осигури доброволна предварителна прозрачност, както е посочено в член 2г, параграф 4 от директиви 89/665/ЕИО и 92/13/ЕИО относно правната защита, както и в член 60, параграф 4 от Директива 2009/81/ЕО.",Cílem tohoto oznámení je dobrovolné zajištění průhlednosti ex ante podle čl. 2d odst. 4 směrnic 89/665/EHS a 92/13/EHS o opravných prostředcích a čl. 60 odst. 4 směrnice 2009/81/ES.,"Denne bekendtgørelse vedrører frivillig forudgående gennemsigtighed, jf. artikel 2d, stk. 4, i direktiv 89/665/EØF og 92/13/EØF om klageprocedurer og artikel 60, stk. 4, i direktiv 2009/81/EF.",Η παρούσα προκήρυξη έχει στόχο την παροχή της εκούσιας εκ των προτέρων διαφάνειας όπως αναφέρεται στο άρθρο 2δ παράγραφος 4 των οδηγιών 89/665/ΕΟΚ και 92/13/ΕΟΚ σχετικά με την έννομη προστασία και στο άρθρο 60 παράγραφος 4 της οδηγίας 2009/81/ΕΚ,"El presente anuncio tiene por objeto ofrecer la transparencia previa voluntaria a que se refieren el artículo 2 quinquies, apartado 4, de las Directivas 89/665/CEE y 92/13/CEE relativas a los procedimientos de recurso, y el artículo 60, apartado 4, de la Directiva 2009/81/CE.",Käesoleva teate eesmärk on tagada abinõusid käsitlevate direktiivide 89/665/EMÜ ja 92/13/EMÜ artikli 2d lõikes 4 ning direktiivi 2009/81/EÜ artikli 60 lõikes 4 osutatud vabatahtlik eelnev läbipaistvus.,Tämän ilmoituksen tarkoituksena on antaa vapaaehtoisesti muutoksenhakua koskevien direktiivien 89/665/ETY ja 92/13/ETY 2 d artiklan 4 kohdassa ja direktiivin 2009/81/EY 60 artiklan 4 kohdassa tarkoitettuja ennakkotietoja,"Is é aidhm an fhógra trédhearcacht dheonach roimh ré a thabhairt dá dtagraítear in Airteagal 2d(4) de na Treoracha 89/665/CEE agus 92/13/CEE maidir le Leigheasanna, agus Airteagal 60(4) de Threoir 2009/81/CE","Cilj je ovom obavijesti osigurati dobrovoljnu prethodnu transparentnost kako je navedeno u članku 2.d stavku 4. direktiva 89/665/EEZ i 92/13/EEZ o pravnim lijekovima, te u članku 60. stavku 4. Direktive 2009/81/EZ.","A hirdetmény célja önkéntes előzetes átláthatóság biztosítása a jogorvoslati eljárás alkalmazásáról szóló 89/665/EGK és 92/13/EGK irányelvek 2d. cikke (4) bekezdésében foglaltak szerint, valamint a 2009/81/EK irányelv 60. cikkének (4) bekezdése értelmében.","Il presente avviso ha l'obiettivo di garantire, su base volontaria, la trasparenza preventiva di cui all'articolo 2 quinquies, paragrafo 4, delle direttive 89/665/CEE e 92/13/CEE sulle procedure di ricorso, e all'articolo 60, paragrafo 4, della direttiva 2009/81/CE.","Šio skelbimo tikslas – užtikrinti savanorišką išankstinį skaidrumą, kaip nurodyta direktyvų 89/665/EEB ir 92/13/EEB dėl teisių gynimo priemonių 2d straipsnio 4 dalyje ir Direktyvos 2009/81/EB 60 straipsnio 4 dalyje.","Šā paziņojuma nolūks ir nodrošināt iepriekšēju pārskatāmību, ievērojot brīvprātības principu, kā minēts 2.d panta 4. punktā Direktīvā 89/665/EEK un Direktīvā 92/13/EEK par tiesiskās aizsardzības līdzekļiem un 60. panta 4. punktā Direktīvā 2009/81/EK.","Dan l-avviż għandu l-għan li jipprovdi trasparenza volontarja minn qabel kif jissemma fl-Artikolu 2d(4) tad-Direttivi 89/665/KEE u 92/13/KEE dwar rimedji, u fl-Artikolu 60(4) tad-direttiva 2009/81/KE.","Met deze aankondiging wordt beoogd vrijwillige transparantie vooraf te verschaffen als bedoeld in artikel 2 quinquies, lid 4, van de Richtlijnen 89/665/EEG en 92/13/EEG inzake rechtsmiddelen, en artikel 60, lid 4, van Richtlijn 2009/81/EG.","Niniejsze ogłoszenie służy zapewnieniu dobrowolnej przejrzystości ex ante, o której mowa w art. 2d ust. 4 dyrektyw 89/665/EWG i 92/13/EWG dotyczących środków odwoławczych oraz art. 60 ust. 4 dyrektywy 2009/81/WE.","O presente anúncio tem por objetivo assegurar a transparência voluntária ex ante a que se refere o artigo 2.º-D, n.º 4, das Diretivas 89/665/CEE e 92/13/CEE, que referem os procedimentos de recurso, e o artigo 60.º, n.º 4, da Diretiva 2009/81/CE.","Prezentul anunţ vizează asigurarea transparenţei prealabile voluntare, astfel cum se menţionează la articolul 2d alineatul (4) din Directivele 89/665/CEE şi 92/13/CEE privind căile de atac şi la articolul 60 alineatul (4) din Directiva 2009/81/CE.","Cieľom tohto oznámenia je poskytnúť dobrovoľnú transparentnosť vopred, ako sa uvádza v článku 2d ods. 4 smerníc 89/665/EHS a 92/13/EHS o opravných prostriedkoch a v článku 60 ods. 4 smernice 2009/81/ES.",To obvestilo zagotavlja prostovoljno predhodno transparentnost iz člena 2d(4) direktiv 89/665/EGS in 92/13/EGS o pravnih sredstvih in člena 60(4) Direktive 2009/81/ES.,Detta meddelande syftar till att ge frivillig förhandsinsyn enligt artikel 2d.4 i direktiv 89/665/EEG och 92/13/EEG om prövningsförfaranden och artikel 60.4 i direktiv 2009/81/EG.,,,
H_foot_1,,,please repeat as many times as needed,répéter autant de fois que nécessaire,in beliebiger Anzahl wiederholen,"моля, повторете, колкото пъти е необходимо","prosím opakujte, kolikrát je třeba",gentag så mange gange som nødvendigt,παρακαλείστε να επαναλάβετε όσες φορές χρειαστεί,repítase tantas veces como sea necesario,korrake vajalik arv kordi,toistakaa niin monta kertaa kuin on tarpeen,athdhéan é a mhéad agus is gá,molimo ponovite koliko je god puta potrebno,szükség szerinti számban ismételje meg,ripetere nel numero di volte necessario,"kartokite tiek kartų, kiek reikia","atkārtot tik reižu, cik nepieciešams",jekk jogħġbok irrepeti kemm-il darba meħtieġ,herhaal indien nodig,"zastosować tyle razy, ile jest to konieczne",repita tantas vezes quantas forem necessárias,a se repeta de câte ori este necesar,"opakujte, koľkokrát je to potrebné","ponovite tolikokrat, kot je potrebno",upprepa så många gånger som behövs,,,
H_foot_10,,,please provide this information only if this notice is an award notice,n'indiquer ces informations que s'il s'agit d'un avis d'attribution,"nur angeben, wenn es sich bei der Bekanntmachung um eine Vergabebekanntmachung handelt","моля, представете тази информация само ако обявлението е обявление за възлагане","tyto informace podejte, pouze pokud je toto oznámení oznámením o výsledku zadávacího řízení","fremlæg kun denne information, hvis dette er en bekendtgørelse om indgåede kontrakter",παρακαλείστε να παράσχετε τις πληροφορίες αυτές μόνον εάν η εν λόγω ανακοίνωση αποτελεί γνωστοποίηση ανάθεσης,facilítese dicha información solamente si se trata de un anuncio de adjudicación,esitage kõnealune teave ainult lepingu sõlmimise teate korral,"ilmoittakaa nämä tiedot vain, jos tämä ilmoitus on jälki-ilmoitus",ná cuir an fhaisnéis seo ar fáil ach amháin más fógra dámhachtana é an fógra seo,molimo dostavite ovaj podatak samo ako je ova obavijest obavijest o dodjeli,ezt az információt csak az eljárás eredményéről szóló tájékoztató esetében adja meg,fornire queste informazioni solo se il presente avviso è un avviso di aggiudicazione,pateikite šią informaciją tik jei šis skelbimas yra skelbimas apie sutarties skyrimą ,"norādīt šo informāciju tikai tad, ja šis ir paziņojums par līguma slēgšanas tiesību piešķiršanu",jekk jogħġbok ipprovdi din l-informazzjoni biss jekk dan l-avviż huwa avviż ta' għoti,gelieve deze informatie enkel te verstrekken als deze aankondiging een aankondiging van een gegunde opdracht betreft,informacje te podaje się tylko w przypadku ogłoszenia o udzieleniu zamówienia,apresente a referida informação apenas se o presente anúncio for um anúncio de adjudicação,a se furniza aceste informaţii numai dacă acest anunţ este un anunţ de atribuire,"tieto informácie uveďte len v prípade, ak je toto oznámenie oznámením o výsledku verejného obstarávania","te informacije predložite le, če gre za obvestilo o oddaji",lämna denna information endast om detta meddelande är ett meddelande om tilldelning,,,
H_foot_11,,,only if this notice concerns a qualification system,seulement si cet avis concerne un système de qualification,"nur, wenn diese Bekanntmachung ein Qualifikationssystem betrifft",само ако обявлението се отнася до квалификационна система,pouze pokud se toto oznámení týká systému kvalifikace,kun hvis denne bekendtgørelse vedrører et kvalifikationssystem,μόνον εάν η εν λόγω ανακοίνωση αφορά σε σύστημα προεπιλογής,solamente si este anuncio se refiere a un sistema de clasificación,ainult kvalifitseerimissüsteemi käsitleva teate korral,"vain, jos tämä ilmoitus koskee kelpuuttamisjärjestelmää",ach amháin má bhaineann an fógra seo le córas cáilíochtaí,samo ako se ova obavijest odnosi na kvalifikacijski sustav,csak előminősítési rendszerre vonatkozó hirdetmény esetében,solo se il presente avviso riguarda un sistema di qualificazione,tik jei šis skelbimas yra susijęs su kvalifikacijos vertinimo sistema,"tikai tad, ja šis paziņojums attiecas uz kvalifikācijas sistēmu",biss jekk dan l-avviż jikkonċerna sistema ta' kwalifikazzjoni,enkel als deze aankondiging een erkenningsregeling betreft,"wyłącznie w przypadku, gdy ogłoszenie dotyczy systemu kwalifikowania",apenas se o presente anúncio se referir a um sistema de qualificação,numai dacă acest anunţ vizează un sistem de calificare,len ak sa toto oznámenie týka kvalifikačného systému,samo če se to obvestilo nanaša na kvalifikacijski sistem,endast om detta meddelande gäller ett kvalificeringssystem,,,
